"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"14229",,,"DLS:000000000014229","Molecular view of a key protein could help make cancer cells more vulnerable to treatments","Xiaodong Zhang, Luke Yates","false","Published (Approved)","07/2021","19865","Diamond Annual Review Highlight",,,,,"false",,"true","true","Krios I-Titan Krios I at Diamond, Krios III-Titan Krios III at Diamond ",,,"Biology and Bio-materials, Chemistry","","Mec1/ATR; DNA damage response; Checkpoint control; Enzyme kinetics; Serine/threonine protein kinase; Cryo-EM structures; Activation mechanism",,"Non-Communicable Diseases, Health & Wellbeing, Cancer, Biochemistry, Genetics, Chemistry, Structural biology, Life Sciences & Biotech, Microscopy, Electron Microscopy (EM), Cryo Electron Microscopy (Cryo EM)",,,"12/11/2021"
"14233",,,"DLS:00001F000014233","Direct chemical imaging of neuromelanin in the most vulnerable brain cells in Parkinson’s disease","Jake Brooks, Joanna Collingwood","false","Published (Approved)","07/2021","15230, 15854, 20809, 24526, 24531","Diamond Annual Review Highlight",,,,,"false",,"true","true","I08-Scanning X-ray Microscopy beamline (SXM), I14-Hard X-ray Nanoprobe",,,"Biology and Bio-materials, Chemistry, Technique Development","","Neuromelanin; Parkinson’s Disease; Spectromicroscopy","Parkinson’s Disease","Neurodegenerative Diseases, Non-Communicable Diseases, Health & Wellbeing, Biochemistry, Technique Development - Life Sciences & Biotech, Neurology, Chemistry, Organic Chemistry, Life Sciences & Biotech, Imaging, Microscopy, X-ray Fluorescence (XRF), X-ray Microscopy, Scanning X-ray Microscopy",,,"12/11/2021"
"14241",,,"DLS:000016000014241","Imaging the vertical dimension of magnetic skyrmions","Peter Hatton, Max Birch","false","Published (Approved)","07/2021","20866","Diamond Annual Review Highlight",,,,,"false",,"true","true","I10-Beamline for Advanced Dichroism - scattering","SOLEIL; BESSY II",,"Materials, Physics","","Skyrmions; Imaging; Diffraction","Skyrmions; Ferromagnetism","Quantum Materials, Hard condensed matter - electronic properties, Physics, Magnetism, Materials Science, Spectroscopy, Circular Dichroism (CD), X-ray Magnetic Circular Dichroism (XMCD)",,,"12/11/2021"
"14242",,,"DLS:000006000014242","Absolute determination of crystal and magnetic chiralities in an iron-based langasite","Alessandro Bombardi","false","Published (Approved)","07/2021","4073, 1803, 17569","Diamond Annual Review Highlight",,,,,"false",,"true","true","I16-Materials and Magnetism",,,"Materials, Physics","","Antiferromagnetism; Chirality; XRMS","Antiferromagnetism","Quantum Materials, Hard condensed matter - electronic properties, Physics, Magnetism, Materials Science, Scattering",,,"12/11/2021"
"14225",,,"DLS:000002000014225","Mapping antibody recognition of SARS-CoV-2 spike protein","Jingshan Ren, David I. Stuart","false","Published (Approved)","07/2021","27009, 26983","Diamond Annual Review Highlight",,,,,"false",,"true","true","I03-Macromolecular Crystallography, Krios I-Titan Krios I at Diamond",,,"Biology and Bio-materials, Medicine","","SARS-CoV-2; Antibody; Germline; V-gene; Receptor-binding-domain; Spike; Neutralisation; Protection; Glycosylation","COVID-19; Viruses","Pathogens, Infectious Diseases, Health & Wellbeing, Structural biology, Drug Discovery, Life Sciences & Biotech, Diffraction, Microscopy, Macromolecular Crystallography (MX), Electron Microscopy (EM), Cryo Electron Microscopy (Cryo EM)",,,"12/11/2021"
"14282",,,"DLS:000013000014282","Viewing drug action in a cell by infrared nanoprobe","Ka Lung Andrew Chan, Gianfelice Cinque","false","Published (Approved)","07/2021","21061","Diamond Annual Review Highlight",,,,,"false",,"true","true","B22-Multimode InfraRed imaging And Microspectroscopy",,,"Biology and Bio-materials, Chemistry, Technique Development","","RE-AFM-IR; Synchrotron IR; Photothermal nanospectroscopy; NanoFTIR; PTIR",,"Biochemistry, Technique Development - Life Sciences & Biotech, Chemistry, Life Sciences & Biotech, Spectroscopy, Infrared Spectroscopy, Atomic Force Microscope Infrared Spectroscopy (AFM-IR)",,,"19/11/2021"
"14240",,,"DLS:000004000014240","Nano-fragmentation of antiferromagnetic domains","Kevin Edmonds","false","Published (Approved)","07/2021","","Diamond Annual Review Highlight",,,,,"false",,"true","true","I06-Nanoscience (XPEEM)",,,"Physics, Materials, Information and Communication Technology","","Electronic and spintronic devices; Magnetic properties and materials","Spintronics; Data Storage; Antiferromagnetism","Quantum Materials, Hard condensed matter - electronic properties, Physics, Electronics, Components & Micro-systems, Information & Communication Technologies, Magnetism, Materials Science, Microscopy, Electron Microscopy (EM), PhotoEmmission Electron Microscopy (PEEM)",,,"12/11/2021"
"14308",,,"DLS:000011000014308","Asthma medication offers a potential new treatment for dementia","Giuliano Siligardi","false","Published (Approved)","07/2021","17645, 24138","Diamond Annual Review Highlight",,,,,"false",,"true","true","B23-Circular Dichroism",,,"Chemistry, Biology and Bio-materials, Medicine","","Alzheimer’s disease; Tau; Amyloid; β-Adrenoceptor; Salbutamol; Dobutamine; Circular Dichroism Spectroscopy","Alzheimer's Disease","Neurodegenerative Diseases, Non-Communicable Diseases, Health & Wellbeing, Biochemistry, Neurology, Chemistry, Structural biology, Organic Chemistry, Drug Discovery, Life Sciences & Biotech, Spectroscopy, Circular Dichroism (CD)",,,"26/11/2021"
"14227",,,"DLS:000000000014227","Visualising a bacterial multi-substrate recruitment machine in action","Amit Meir, Gabriel Waksman","false","Published (Approved)","07/2021","14704","Diamond Annual Review Highlight",,,,,"false",,"true","true","Krios IV-Titan Krios IV at Diamond",,,"Biology and Bio-materials","","Type IV secretion system; T4SS; Host-pathogen interaction; Legionella pneumophila","Legionnaires' Disease; Bacteria","Pathogens, Infectious Diseases, Health & Wellbeing, Structural biology, Life Sciences & Biotech, Microscopy, Electron Microscopy (EM), Cryo Electron Microscopy (Cryo EM)",,,"12/11/2021"
"14232",,,"DLS:00000D000014232","Finding order in disordered porous materials","Andrew Goodwin","false","Published (Approved)","07/2021","13639, 20876, 22610","Diamond Annual Review Highlight",,,,,"false",,"true","true","I19-Small Molecule Single Crystal Diffraction",,,"Materials, Chemistry","","Prussian blue analogues; Porous materials; Correlated disorder",,"Physical Chemistry, Energy Materials, Chemistry, Materials Science, Inorganic Chemistry, Diffraction, Single Crystal X-ray Diffraction (SXRD)",,,"12/11/2021"
