"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"18376","10.1107/S157487072200547X",,"DLS:000000000018376","Other calibration and diagnostic tools","Sofia Diaz-Moreno","false","Published (Approved)","08/2024","","Book Chapter",,,,,"false",,"false","false","",,,"Physics","","energy calibration; reference foils; energy-dispersive EXAFS",,"Physics","9780470685754","3.48","02/09/2024"
"18389","10.1107/S157487072200324X",,"DLS:000000000018389","In situ and operando catalysis: instrumentation and experimental setups","Giovanni Agostini, Diego Gianolio, Carlo Lamberti","false","Published (Approved)","08/2024","","Book Chapter",,,,,"false",,"false","false","",,,"Materials, Chemistry","","catalysis; ex situ; in situ; operando; reaction cells; time-resolved setups; space-resolved setups",,"Physical Chemistry, Catalysis, Chemistry, Materials Science","9780470685754","3.26","04/09/2024"
"17980","10.1016/bs.mie.2024.05.012",,"DLS:000000000017980","In vitro assay and inhibition of 9-cis-epoxycarotenoid dioxygenase (NCED) from Solanum lycopersicum and Zea mays","Peter J. Harrison, Jake Chandler, Andrew J. Thompson, Timothy D. H. Bugg","false","Published (Approved)","06/2024","","Book Chapter",,,,,"false",,"false","false","",,,"Biology and Bio-materials, Chemistry","",,"Enzymes","Biochemistry, Chemistry, Life Sciences & Biotech",,,"12/06/2024"
"18043","10.1002/9783527841110.ch30",,"DLS:000011000018043","Using chiroptical spectroscopy to gain unique information about the solid-state","Reiko Kuroda","false","Published (Approved)","05/2024","","Book Chapter",,,,,"false",,"true","true","B23-Circular Dichroism",,,"Chemistry, Materials","",,,"Physical Chemistry, Chemistry, Materials Science, Spectroscopy, Circular Dichroism (CD)","9783527841110","30","24/06/2024"
"17274","10.1007/978-1-0716-3734-0_18",,"DLS:000000000017274","Expression, purification, and Cryo-EM structural analysis of an outer membrane secretin channel","Rebecca Conners, Mathew Mclaren, Marjorie Russel, Vicki A. M. Gold","false","Published (Approved)","03/2024","25452","Book Chapter",,,,,"false",,"true","true","Krios II-Titan Krios II at Diamond",,,"Biology and Bio-materials","","Secretin; Membrane protein; Filamentous phage; Protein expression; Protein purification; Cryo-EM","Bacteria; Bacteriophages; Viruses","Health & Wellbeing, Structural biology, Life Sciences & Biotech, Microscopy, Electron Microscopy (EM), Cryo Electron Microscopy (Cryo EM), Parasitology","978-1-0716-3734-0",,"15/03/2024"
"16866","10.1039/9781837670154",,"DLS:000000000016866","Cryo-electron microscopy and tomography: aiming for atomic resolution in macromolecular assemblies and entire cells","Tao Ni, Zhen Hou, Peijun Zhang","false","Published (Approved)","12/2023","","Book Chapter",,,,,"false",,"false","false","",,,"Biology and Bio-materials","",,,"Structural biology, Life Sciences & Biotech","978-1-83767-016-1","4","13/12/2023"
"16916","10.1007/978-3-031-40086-5_6",,"DLS:00003D000016916","Correlative cryo-imaging using soft X-Ray tomography for the study of virus biology in cells and tissues","Archana C. Jadhav, Ilias Kounatidis","false","Published (Approved)","12/2023","","Book Chapter",,,,,"false",,"true","true","B24-Cryo Soft X-ray Tomography ","BL09-Mistral at ALBA",,"Biology and Bio-materials, Technique Development","","Soft X-ray tomography; Super-resolution microscopy; Structured illumination microscopy; Virus; Reovirus; Herpesvirus; SARS-CoV-2; Beamline; Cryo-SXT; CryoSIM; Synchrotron","Viruses; Herpes","Pathogens, Health & Wellbeing, Technique Development - Life Sciences & Biotech, Life Sciences & Biotech, Imaging, Tomography, Cryo-soft X-ray Tomography (Cryo-SXT)","978-3-031-40086-5","6","03/01/2024"
"16877","10.1088/978-0-7503-3631-4",,"DLS:000000000016877","Analytical research infrastructures and industry engagement: drivers, challenges, and impact","Graham Appleby, Caroline Boudou, Ralph Gilles, Ed Mitchell, Alejandro Sánchez, Elizabeth Shotton","false","Published (Approved)","12/2023","","Book Chapter",,,,,"false",,"false","false","",,,"Social Sciences","",,,"Humanities","978-0-7503-3631-4","9","14/12/2023"
"16298","10.1002/9783527839247.ch10",,"DLS:000008000016298","Crystallization from anisotropic polymer melts","Daniel P. Da Silva, James J. Holt, Supatra Pratumshat, Paula Pascoal‐faria, Artur Mateus, Geoffrey R. Mitchell","false","Published (Approved)","10/2023","","Book Chapter",,,,,"false",,"true","true","I22-Small angle scattering & Diffraction","ALBA; SRS; ESRF; DESY; Elettra",,"Materials","",,"Additive Manufacturing","Materials Science, Polymer Science, Scattering, Small Angle X-ray Scattering (SAXS)",,"10","17/07/2023"
"16477","10.1016/B978-0-323-85669-0.00009-X",,"DLS:000000000016477","Structure of rutile TiO2 photocatalytic interfaces","Hadeel Hussain, Geoff Thornton","false","Published (Approved)","08/2023","","Book Chapter",,,,,"false",,"false","false","",,,"Materials, Chemistry, Physics","","Photocatalysis; Surface X-ray diffraction; Titanium dioxide; Water adsorption","Photocatalysis","Surfaces, Physics, Physical Chemistry, Catalysis, Chemistry, Materials Science, interfaces and thin films",,,"06/09/2023"
