"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"18201","10.5194/epsc2024-1090",,"DLS:000009000018201","Using synchrotron X-ray diffraction and X-ray tomography to study ocean world cryogeochemistry in 4D","Liam Perera, Sarah Day, Stephen Thompson, Alberto Leonardi, Sharif Ahmed","false","Published (Approved)","09/2024","","Conference Paper",,,,"Europlanet Science Congress 2024","false",,"true","true","DIAD-Dual Imaging and Diffraction Beamline, I11-High Resolution Powder Diffraction, I12-JEEP: Joint Engineering, Environmental and Processing",,,"Earth Science","",,"Enceladus","Earth Sciences & Environment, Geology, Diffraction, Imaging, X-ray Powder Diffraction, Tomography, Geochemistry, Planetary Geology",,,"24/07/2024"
"18439","10.1051/matecconf/202440304005",,"DLS:000010000018439","Tensile failure mechanisms of historic fibrous plaster ceiling wads: Experiments at the UK Diamond Light Source","Jiaxu Zuo, Kutsi Akcicek, Shivansh Nauriyal, Barrie Dams, Stefan Michalik, Thomas Zillhardt, Martin Ansell, Richard Ball, Genoveva Burca, Brian Sheil, James Marrow, Sinan Acikgoz","false","Published (Approved)","09/2024","","Conference Paper",,,,"SUBLime Conference 2024","false",,"true","true","I12-JEEP: Joint Engineering, Environmental and Processing",,,"Archaeological and Cultural Heritage, Materials, Engineering","",,,"Cultural Heritage, Humanities, Materials Engineering & Processes, Materials Science, Engineering & Technology, Imaging, Tomography",,,"19/09/2024"
"18344","10.1007/978-3-031-63937-1_77",,"DLS:000010000018344","The relationship between strain-age cracking and the evolution of γ′ in laser powder-bed-fusion processed Ni-Based superalloys","J. F. S. Markanday, N. D’souza, N. L. Church, J. R. Miller, J. J. C. Pitchforth, L. D. Connor, S. Michalik, B. Roebuck, N. G. Jones, K. A. Christofidou, H. J. Stone","true","Published (Approved)","08/2024","33375","Conference Paper",,,,"Superalloys 2024","false",,"true","true","I12-JEEP: Joint Engineering, Environmental and Processing",,,"Materials, Engineering","",,"Alloys","Materials Engineering & Processes, Materials Science, Engineering & Technology, Metallurgy, Imaging, Tomography",,,"25/08/2024"
"18343","10.1007/978-3-031-63937-1_84",,"DLS:000009000018343","Influence of the γ/γ′ misfit on the strain-age cracking resistance of high-γ′ Ni and CoNi superalloys for additive manufacturing","Stephane A. J. Forsik, Austin D. Dicus, Gian A. Colombo, Tao Wang, Mario E. Epler, Eamonn T. Connolly, Jiraphant Srisuriyachot, Alexander Lunt, Ning Zhou","true","Published (Approved)","08/2024","31442","Conference Paper",,,,"Superalloys 2024","true",,"true","true","I11-High Resolution Powder Diffraction",,,"Materials, Engineering","",,"Additive Manufacturing; Alloys","Materials Engineering & Processes, Materials Science, Engineering & Technology, Metallurgy, Diffraction",,,"25/08/2024"
"18362","10.1149/MA2024-01462579mtgabs",,"DLS:000000000018362","The aqueous aluminium-ion battery: optimising the electrode compression ratio through image-based modelling","James Le Houx, Nicole Melzack, Andrew James, Hans Dehyle, Navid Aslani, Matthew Pimblott, Sharif Ahmed, Richard G. A. Wills","false","Published (Approved)","08/2024","","Conference Paper",,,,"ECS Meeting 2024","false",,"false","false","",,,"Chemistry, Materials, Energy","",,"Batteries; Aluminium-ion","Energy Storage, Energy, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Chemical Engineering, Engineering & Technology",,,"28/08/2024"
"18400","10.1149/MA2024-012203mtgabs",,"DLS:000000000018400","Operando and ex-situ studies of columbite electrode materials","Matthew H. Friskey, Luke Keenan, Monica Amboage, Julia L. Payne","false","Published (Approved)","08/2024","","Conference Paper",,,,"245th ECS Meeting 2024","false",,"false","false","",,,"Materials, Chemistry, Energy","",,"Batteries","Energy Storage, Energy, Physical Chemistry, Energy Materials, Chemistry, Materials Science",,,"05/09/2024"
"18391","10.1117/12.3018631",,"DLS:000000000018391","Additive manufacturing in ceramics: targeting lightweight mirror applications in the visible, ultraviolet and x-ray","Carolyn Atkins, Younes Chahid, Greg Lister, Rhys Tuck, David Isherwood, Nan Yu, Rongyan Sun, Itsuki Noto, Kazuya Yamamura, Marta Civitani, Gabriele Vecchi, Giovanni Pareschi, Simon G. Alcock, Ioana-Theodora Nistea, Murilo Bazan Da Silva","false","Published (Approved)","08/2024","","Conference Paper",,,,"SPIE Astronomical Telescopes + Instrumentation, 2024","false",,"false","false","",,,"Materials, Engineering, Physics","Optics",,"Additive Manufacturing","Optics, Materials Engineering & Processes, Ceramics, Physics, Materials Science, Engineering & Technology",,,"04/09/2024"
"18205",,,"DLS:000009000018205","High-conductivity garnet electrolytes: >1 mS/cm via comprehensive dopant local structure and synthesis insights","Sundeep Vema, Clare Grey","false","Published (Approved)","07/2024","34151, 28349","Conference Paper",,,,"24th International Conference on Solid State Ionics (SSI24)","false",,"true","true","I11-High Resolution Powder Diffraction",,,"Materials, Chemistry, Energy","",,"Batteries; Solid-State Batteries (SSB)","Energy Storage, Energy, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Diffraction, X-ray Powder Diffraction",,,"24/07/2024"
"18206",,,"DLS:000009000018206","Multi-technique approach to identify the onset of degradation at the interface of NMC and LLZO during sintering","Ángela Ramos-Díaz, Sundeep Vema, Farheen N. Sayed, Clare P. Grey","false","Published (Approved)","07/2024","34243","Conference Paper",,,,"24th International Conference on Solid State Ionics (SSI24)","false",,"true","true","I11-High Resolution Powder Diffraction",,,"Materials, Chemistry, Energy","",,"Batteries; Solid-State Batteries (SSB)","Energy Storage, Energy, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Diffraction, X-ray Powder Diffraction",,,"24/07/2024"
"18238","10.1093/mam/ozae044.179",,"DLS:000000000018238","Quantitative electron microscopy of zeolites using aberration corrected (S)TEM and machine learning","Tahmid Choudhury, Chen Huang, Aakash Varambhia, Alessandro Turrina, Mervyn Shannon, Dogan Ozkaya, Angus I. Kirkland","true","Published (Approved)","07/2024","","Conference Paper",,,,"Microscopy & Microanalysis 2024","false",,"true","true","E02-JEM ARM 300CF",,,"Materials, Chemistry","",,,"Zeolites, Artificial Intelligence, Catalysis, Information & Communication Technologies, Chemistry, Materials Science, Microscopy, Electron Microscopy (EM), Scanning Transmission Electron Microscopy (STEM)",,,"31/07/2024"
"18236","10.1093/mam/ozae044.251",,"DLS:000017000018236","Tunnel-shaped weathering features in soil grains: why 3D imaging must be performed for accurate characterization and interpretation","Ria L. Mitchell, Paul Kenrick, Andrew J. Bodey, James Mansfield, Richard E. Johnston","false","Published (Approved)","07/2024","","Conference Paper",,,,"Microscopy & Microanalysis 2024","false",,"true","true","I13-2-Diamond Manchester Imaging",,,"Earth Science","",,,"Earth Sciences & Environment, Palaeontology, Geology, Imaging, Tomography, Geochemistry",,,"30/07/2024"
"18170",,,"DLS:000009000018170","Simulating with a simulant: recreating hydrothermal metamorphism on enceladus","Laura Jenkins, Stephen Thompson, Eamonn Connolly","false","Published (Approved)","07/2024","","Conference Paper",,,,"Europlanet Science Congress 2024","false",,"true","true","I11-High Resolution Powder Diffraction",,,"Earth Science, Chemistry","",,"Enceladus","Earth Sciences & Environment, Geology, Diffraction, X-ray Powder Diffraction, Geochemistry, Planetary Geology",,,"17/07/2024"
"18237","10.1093/mam/ozae044.901",,"DLS:000000000018237","Combining scanning nanobeam electron diffraction with 3D electron diffraction to investigate crystal defects","H. W. Leung, R. C. B. Copley, J. E. M. Laulainen, Duncan N. Johnstone, P. A. Midgley","false","Published (Approved)","07/2024","33068","Conference Paper",,,,"Microscopy & Microanalysis 2024","false",,"true","true","E02-JEM ARM 300CF",,,"Materials","",,,"Materials Science, Nanoscience/Nanotechnology, Microscopy, Electron Microscopy (EM), Scanning Electron Microscopy (SEM), Scanning Transmission Electron Microscopy (STEM)",,,"30/07/2024"
"18240","10.1093/mam/ozae044.929",,"DLS:000000000018240","Comparing ptychographic methods for maximum low dose performance","Tamazouzt Chennit, Christoph Hofer, Biao Yuan, Songge Li, Andrew Maiden, Timothy J. Pennycook","false","Published (Approved)","07/2024","","Conference Paper",,,,"Microscopy & Microanalysis 2024","false",,"false","false","",,,"Materials, Technique Development","",,,"Technique Development - Materials Science, Materials Science",,,"31/07/2024"
"18385",,,"DLS:000000000018385","Near-field multi-slice optical ptychography","Andrew M. Maiden, Ziyang Hu, Yiqian Zhang","false","Published (Approved)","07/2024","","Conference Paper",,,,"Optica Imaging Congress 2024","false",,"false","false","",,,"Physics","",,,"Physics",,,"04/09/2024"
"18427",,,"DLS:000017000018427","A magnetic field accelerated composites volumetric additive manufacturing","Hamed Yazdani Nezhad, Maryna Pavlyuk, Pantea Afshari, Mahdi Bodaghi, Bing Zhang, Mehran Tehrani","false","Published (Approved)","07/2024","","Conference Paper",,,,"ECCM21 - 21st European Conference on Composite Materials","false",,"true","true","I13-2-Diamond Manchester Imaging",,,"Materials, Engineering, Physics","","Magnetic induction; Ferromagnetic; Multifunctional polymer composite; 3D printing; additive manufacturing","Additive Manufacturing; Ferromagnetism","Materials Engineering & Processes, Physics, Magnetism, Materials Science, Engineering & Technology, Composite Materials, Polymer Science, Imaging, Tomography",,,"14/09/2024"
"18303","10.18429/JACoW-MEDSI2023-WEPPP051",,"DLS:000000000018303","The design of a 2m long copper light extraction vessel at Diamond Light Source for the Diamond-II upgrade","V. Danielyan, M. P. Cox, R. T. Fielder, S. L. Hodbod, T. Lockwood","false","Published (Approved)","06/2024","","Conference Paper",,,,"MEDSI2023","false",,"false","false","",,,"Engineering, Physics","Accelerator Physics",,,"Physics, Engineering & Technology",,,"19/08/2024"
"18161",,,"DLS:000000000018161","Updates to the impedance database for the Diamond-II storage ring","R. Fielder, D. Rabusov, S. Wang","false","Published (Approved)","05/2024","","Conference Paper",,,,"IPAC24","false",,"false","false","",,,"Physics","Accelerator Physics",,,"Physics",,,"16/07/2024"
"17985","10.18429/JACoW-IPAC2024-THPG01",,"DLS:000000000017985","A Kick-and-Cancel injection scheme for Diamond-II","A. Lueangaramwong, I. Martin, R. Fielder, J. Hares","false","Published (Approved)","05/2024","","Conference Paper",,,,"IPAC'24","false",,"false","false","",,,"Physics, Engineering","Accelerator Physics",,,"Physics, Engineering & Technology",,,"13/06/2024"
"17870","10.1117/12.3014643",,"DLS:000010000017870","Novel solutions for structural protections: retrofitting impact-vulnerable structures with non-Newtonian polymers","Omar Elhawary, Mohamed A. Amjard, Chanel Fallon, Alexander J. G. Lunt, Fulvio Pinto","false","Published (Approved)","05/2024","","Conference Paper",,,,"SPIE Smart Structures + Nondestructive Evaluation, 2024","false",,"true","true","I12-JEEP: Joint Engineering, Environmental and Processing",,,"Materials, Engineering","",,,"Materials Engineering & Processes, Materials Science, Engineering & Technology, Polymer Science, Imaging, Tomography",,,"15/05/2024"
"17915",,,"DLS:00003E000017915","Water clusters and linde type-a aluminophosphate: interplay between structural order and disorder","Janez Volavšek, Suzana Mal, Alenka Ristić, Anže Hubman, Franci Merzel, Nataša Zabukovec Logar, Andraž Krajnc","false","Published (Approved)","05/2024","","Conference Paper",,,,"10th Slovenian-Serbian-Croatian Symposium on Zeolites","false",,"true","true","I15-1-X-ray Pair Distribution Function (XPDF)",,,"Materials, Chemistry","","disorder; PDF; NMR; molecular dynamics; microporous AlPO4-LTA",,"Physical Chemistry, Chemistry, Materials Science, Scattering, Pair Distribution Function (PDF)",,,"30/05/2024"
"17938","10.18429/JACoW-IPAC2024-FRXN1",,"DLS:000000000017938","Beam instrumentation for advancing accelerators","L. Bobb","false","Published (Approved)","05/2024","","Conference Paper",,,,"IPAC24","false",,"false","false","",,,"Physics","Diagnostics",,,"Physics",,,"06/06/2024"
"18026","10.18429/JACoW-IPAC2024-TUPG18",,"DLS:000000000018026","Studies for single bunch and multi-bunch beam instabilities in the Diamond-II booster","R. Husain, R. Fielder, I. Martin, S. Wang, P. Burrows","false","Published (Approved)","05/2024","","Conference Paper",,,,"IPAC'24","false",,"false","false","",,,"Physics","Accelerator Physics",,,"Physics",,,"20/06/2024"
"18027",,,"DLS:000000000018027","Numerical optimization of the Diamond-II storage ring optics","N. Blaskovic Kraljevic, H.-C. Chao, H. Ghasem, I. P. S. Martin, S. Preston","false","Published (Approved)","05/2024","","Conference Paper",,,,"IPAC'24","false",,"false","false","",,,"Physics","Accelerator Physics",,,"Physics",,,"20/06/2024"
"18124",,,"DLS:000000000018124","Further investigations into the impacts of insertion devices on the Diamond-II lattice","B. Singh, H.-C. Chao, A. M. Ramezani, I. P. S. Martin","false","Published (Approved)","05/2024","","Conference Paper",,,,"IPAC2024","false",,"false","false","",,,"Engineering, Physics","Accelerator Physics",,,"Physics, Engineering & Technology",,,"07/07/2024"
"18109",,,"DLS:000000000018109","Collimator study for the Diamond-II storage ring","H. Ghasem, I. P. S. Martin, H.-C. Chao, W. Shields","false","Published (Approved)","05/2024","","Conference Paper",,,,"IPAC2024","false",,"false","false","",,,"Engineering, Physics","Accelerator Physics",,,"Physics, Engineering & Technology",,,"04/07/2024"
"18127","10.1109/INTERMAGShortPapers61879.2024.10576960",,"DLS:000016000018127","Spin and orbital moments of magnetic topological insulator MnBi2Te4 epitaxial thin films","Jiabao Sun, Shanshan Liu, Faxian Xiu, Wenqing Liu","false","Published (Approved)","05/2024","","Conference Paper",,,,"2024 IEEE International Magnetic Conference","false",,"true","true","I10-Beamline for Advanced Dichroism - scattering",,,"Materials, Physics","","inch-scale; intrinsic magnetic topological insulators (MTIs); MnBi2Te4; molecular beam epitaxy (MBE); spintronics; x- ray magnetic circular dichroism (XMCD)",,"Surfaces, Quantum Materials, Physics, Magnetism, Materials Science, interfaces and thin films, Spectroscopy, Circular Dichroism (CD), X-ray Magnetic Circular Dichroism (XMCD)",,,"09/07/2024"
"16917",,,"DLS:000006000016917","Competing ordering phenomena in the intermetallic topological magnets Eu(Ga1-xAlx)4","Anuradha Vibhakar, Dmitry Khalyavin, Jaime M. Moya, Pascal Manuel, Fabio Orlandi, Shiming Lei, Emilia Morosan, Alessandro Bombardi","false","Published (Approved)","03/2024","30799, 34149","Conference Paper",,,,"APS March Meeting 2024","false",,"true","true","I16-Materials and Magnetism","WISH at ISIS",,"Materials, Physics","",,"Skyrmions","Quantum Materials, Physics, Magnetism, Materials Science, Scattering, Resonant Elastic X-ray Scattering (REXS)",,,"03/01/2024"
"17250","10.5194/egusphere-egu24-2569",,"DLS:000000000017250","Quantifying dendritic crystallization in hydrous basaltic magmas through 4D experiments with in situ view: implications for magma mobility within the Earth’s crust","Fabio Arzilli, Margherita Polacci, Giuseppe La Spina, Nolwenn Le Gall, Edward W. Llewellin, Richard A. Brooker, Rafael Torres-Orozco, Danilo Di Genova, David A. Neave, Margaret E. Hartley, Heidy M. Mader, Daniele Giordano, Robert Atwood, Peter D. Lee, Mike R. Burton","false","Published (Approved)","03/2024","","Conference Paper",,,,"EGU General Assembly 2024","false",,"false","false","",,,"Earth Science","",,,"Earth Sciences & Environment, Geology, Geochemistry",,,"13/03/2024"
"17248","10.5194/egusphere-egu24-21751",,"DLS:000007000017248","Sulfur and fluorine degassing from Deccan Traps lavas inferred from pyroxene chemistry: potential for end-Cretaceous volcanic winters","Sara Callegaro, Don R. Baker, Paul R. Renne, Leone Melluso, Kalotina Geraki, Martin J. Whitehouse, Angelo De Min, Andrea Marzoli","false","Published (Approved)","03/2024","","Conference Paper",,,,"EGU General Assembly 2024","false",,"true","true","I18-Microfocus Spectroscopy",,,"Earth Science, Chemistry","",,"Volcanology","Earth Sciences & Environment, Geology, Imaging, X-ray Fluorescence (XRF), Geochemistry",,,"13/03/2024"
"17255","10.5194/egusphere-egu24-11132",,"DLS:000000000017255","Comparing methods to quantify grain-scale sediment structure in gravel-bed rivers","Rebecca Hodge, Hal Voepel, Elowyn Yager, Julian Leyland, Joel Johnson, David Sear, Sharif Ahmed","false","Published (Approved)","03/2024","","Conference Paper",,,,"EGU General Assembly 2024","false",,"false","false","",,,"Earth Science","",,,"Earth Sciences & Environment, Geology",,,"13/03/2024"
