"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"18111","10.1107/S205225252400602X",,"DLS:000000000018111","Exploring crystal structure-physical property relationships with pressure","David R. Allan","false","Published (Approved)","07/2024","","Editors' Note",,,,,"false",,"false","false","",,,"Chemistry, Materials","","intermolecular interactions; polymorphism; crystallization and crystal growth; properties of solids; hydrogen bonding; density functional theory; lattice energies; molecular crystals; structure prediction",,"Physical Chemistry, Chemistry, Materials Science",,,"05/07/2024"
"16211","10.3389/feart.2023.1187340",,"DLS:000000000016211","Editorial: Advances in the study of fluids and melts under extreme conditions","Simone Anzellini, Marion Louvel, Francesca Miozzi, Angelika D. Rosa, Carla Tiraboschi","false","Published (Approved)","04/2023","","Editors' Note",,,,,"false",,"false","false","",,,"Earth Science, Chemistry","",,,"Earth Sciences & Environment, Geology, Geochemistry",,,"21/06/2023"
"15144","10.1107/S2052252521012835",,"DLS:000000000015144","Accessing new polymorphs and solvates through solvothermal recrystallization","David R. Allan","false","Published (Approved)","01/2022","","Editors' Note",,,,,"false",,"false","false","",,,"Chemistry, Materials","",,,"Chemistry, Materials Science, Organic Chemistry",,,"16/08/2022"
"12461","10.1039/D0CP90186E",,"DLS:000000000012461","Synchrotron radiation techniques in catalytic science","C. Richard A. Catlow, Peter Wells, Diego Gianolio","false","Published (Approved)","08/2020","","Editors' Note",,,,,"false",,"false","false","",,,"Technique Development, Chemistry","",,,"Physical Chemistry, Technique Development - Chemistry, Catalysis, Chemistry",,,"25/08/2020"
"17963",,,"DLS:000005000017963","Multiferroic MnWO4 wolframite under compression","Diamond Light Source","false","Published (Approved)","07/2016","6517","Editors' Note",,,,,"false",,"true","true","I15-Extreme Conditions","Extreme Conditions Beamline (ECB) at PETRA III",,"Physics, Materials, Information and Communication Technology","",,"Data Storage; Antiferromagnetism","Quantum Materials, Multiferroics, Physics, Components & Micro-systems, Information & Communication Technologies, Magnetism, Materials Science, Diffraction, X-ray Powder Diffraction",,,"10/06/2024"
"4189","10.1002/chir.22091",,"DLS:000011000004189","Proceedings from the 13th International Conference on Chiroptical Spectroscopy, Oxford, United Kingdom, 2011 (Formerly Known as the International Conference on Circular Dichroism)","Giuliano Siligardi, Rohanah Hussain, Nina Berova","false","Published (Approved)","09/2012","2074","Editors' Note","Chirality","24","683-683",,"false",,"false","false","B23-Circular Dichroism",,,"Technique Development, Materials, Biology and Bio-materials","","Circular DichroismChiroptical Spectroscopy",,"Technique Development - Materials Science, Technique Development - Life Sciences & Biotech, Materials Science, Life Sciences & Biotech",,,"17/07/2014"
"2139","10.1038/nmat3189",,"DLS:000000000002139","High-pressure physics: Testing one's metal","Andrew Jephcoat","false","Published (Approved)","11/2011","","Editors' Note","Nature Materials","10 (12)","904 - 905",,"false","Nature Materials","false","false","",,,"Physics","",,,"Physics",,,"24/11/2011"
"1763","10.1016/j.jsb.2011.05.013",,"DLS:000000000001763","From SPINE to SPINE-2 complexes and beyond","Anastassis Perrakis, Susan Daenke, David I. Stuart, Joel L. Sussman","false","Published (Approved)","05/2011","","Editors' Note","Journal Of Structural Biology","175 (2)",,,"false",,"false","false","",,,"Biology and Bio-materials","",,,"Structural biology, Life Sciences & Biotech",,,"05/07/2011"
"100147","10.1038/nmat2305","18955989","DLS:000000000100147","Two million hours of science","G. N.  Greaves, C. R. A. Catlow, G. E.  Derbyshire, M. I. Mcmahon, R. J.  Nelmes , G.  Van Der Laan","false","Published (Approved)","11/2008","","Editors' Note","Nature Materials","7 (11)","827-830",,"false",,"false","false","NONE-No attached Diamond beamline",,,"Materials","",,,"Materials Science",,,"19/08/2009"
"849","10.1007/s00018-008-8272-2","18516493","DLS:000000000000849","Memories of a senior scientist : early days of structural  biology","Louise Johnson","false","Published (Approved)","05/2008","","Editors' Note","Cellular And Molecular Life Sciences","65 (15)","2271-2276",,"false",,"false","false","",,,"Biology and Bio-materials","",,,"Structural biology, Life Sciences & Biotech",,,"01/07/2010"
"6214","10.1107/S0907444905040631",,"DLS:000000000006214","Data collection and analysis","Gwyndaf Evans, Martin Walsh","false","Published (Approved)","01/2006","","Editors' Note","Acta Crystallographica Section D Biological Crystallography","62 (1)",,,"false",,"false","false","",,,"Information and Communication Technology","Data acquisition","CCP4",,"Information & Communication Technologies, Structural biology, Data processing, Life Sciences & Biotech",,,"02/02/2016"
