"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"18455","10.1016/j.mser.2024.100856",,"DLS:000004000018455","Spin-dependent electron transfer in electrochemically transparent van der Waals heterostructures for oxygen evolution reaction","Yang Li, Yan Wang, Andrew F. May, Mauro Fianchini, Chiara Biz, Saeyoung Oh, Yiru Zhu, Hu Young Jeong, Jieun Yang, Jose Gracia, Manish Chhowalla","false","Published (Approved)","12/2024","33245","Journal Paper","Materials Science And Engineering: R: Reports","161",,,"false",,"true","true","I06-Nanoscience (XPEEM)",,,"Materials, Chemistry, Physics","","2D materials; Van der Waals heterostructure; Magnetic materials; Spin polarization; Electrochemical reaction; Quantum spin exchange interaction",,"Quantum Materials, Physics, Physical Chemistry, Catalysis, Chemistry, Magnetism, Materials Science, Spectroscopy, Circular Dichroism (CD), X-ray Magnetic Circular Dichroism (XMCD)",,,"23/09/2024"
"18402","10.1016/j.bioactmat.2024.07.019",,"DLS:000017000018402","Multi-modal investigation of the bone micro- and ultrastructure, and elemental distribution in the presence of Mg-xGd screws at mid-term healing stages","Kamila Iskhakova, Hanna Cwieka, Svenja Meers, Heike Helmholz, Anton Davydok, Malte Storm, Ivo Matteo Baltruschat, Silvia Galli, Daniel Pröfrock, Olga Will, Mirko Gerle, Timo Damm, Sandra Sefa, Weilue He, Keith Macrenaris, Malte Soujon, Felix Beckmann, Julian Moosmann, Thomas O'Hallaran, Roger J. Guillory, D. C. Florian Wieland, Berit Zeller-Plumhoff, Regine Willumeit-Römer","false","Published (Approved)","11/2024","25078","Journal Paper","Bioactive Materials","41","657 - 671",,"false",,"true","true","I13-2-Diamond Manchester Imaging, I14-Hard X-ray Nanoprobe","P03 at PETRA III",,"Materials, Chemistry, Medicine","",,"Alloys; Bone","Biomaterials, Biochemistry, Chemistry, Materials Science, Life Sciences & Biotech, Metallurgy, Imaging, Tomography, X-ray Fluorescence (XRF)",,,"06/09/2024"
"18242","10.1016/j.wasman.2024.07.026",,"DLS:000007000018242","Reuse potential of municipal solid waste incinerator bottom ash as secondary aggregate: Material characteristics, persistent organic pollutant content and effects of pH and selected environmental lixiviants on leaching behaviour","Felipe E. Sepulveda Olea, Ian T. Burke, Arif Mohammad, Douglas I. Stewart","false","Published (Approved)","10/2024","33049","Journal Paper","Waste Management","187","262 - 274",,"false",,"true","true","I18-Microfocus Spectroscopy",,,"Environment, Chemistry, Materials","",,"MSW IBA; Metal leaching; Persistent organic pollutants; Circular economy; Environmental lixiviants","Desertification & Pollution, Earth Sciences & Environment, Chemistry, Materials Science, Spectroscopy, X-ray Absorption Spectroscopy (XAS), X-ray Absorption Near Edge Structure (XANES)",,,"31/07/2024"
"18193","10.1016/j.bbamem.2024.184371",,"DLS:000015000018193","Novel lipid-interaction motifs within the C-terminal domain of Septin10 from Schistosoma mansoni","Italo A. Cavini, Marina G. Fontes, Ana Eliza Zeraik, Jose L. S. Lopes, Ana Paula U. Araujo","false","Published (Approved)","10/2024","33825","Journal Paper","Biochimica Et Biophysica Acta (bba) - Biomembranes","1866",,,"false",,"true","true","B21-High Throughput SAXS",,,"Biology and Bio-materials, Chemistry","",,"Schistosomiasis","Infectious Diseases, Disease in the Developing World, Health & Wellbeing, Biochemistry, Chemistry, Structural biology, Biophysics, Life Sciences & Biotech, Scattering, Small Angle X-ray Scattering (SAXS), Parasitology",,,"22/07/2024"
"18287","10.1016/j.jnoncrysol.2024.123157",,"DLS:000000000018287","Atomic structure and devitrification of the Mg82Ca8Au10 metallic glass","Z. Molčanová, K. Saksl, J. Durisin, S. Michalik, B. Ballóková, J. Darpentigny, P. Jóvári","false","Published (Approved)","10/2024","","Journal Paper","Journal Of Non-Crystalline Solids","642",,,"false",,"true","false","",,"P21.1 at PETRA III","Materials","","Metallic glass; Differential scanning calorimetry; Neutron diffraction; X-ray diffraction; EXAFS; Reverse Monte Carlo; Atomic structure; Unit cell parameters","Alloys","Materials Science, Metallurgy",,,"14/08/2024"
"18386","10.1107/S2053229624007460",,"DLS:000000000018386","Methods in molecular photocrystallography","Lauren E. Hatcher, Mark R. Warren, Paul R. Raithby","false","Published (Approved)","10/2024","","Journal Paper","Acta Crystallographica Section C Structural Chemistry","80",,,"false",,"false","false","",,,"Materials, Chemistry","",,,"Physical Chemistry, Chemistry, Materials Science",,,"04/09/2024"
"18286","10.1016/j.cplett.2024.141525",,"DLS:000000000018286","Facile and efficient fabrication of Cu1.04Mn0.96O2 nanosheet anodes with superior electrochemical lithium storage capability","Mingyuan Ye, Ziqi Zhao, Liying Liu, Li Shao, Li Liu, Xiaorui Hao, Jiaqi Lv, Peng-Fei Wang, Yu-Han Zhang, Fa-Nian Shi, Yuhan Wu","false","Published (Approved)","10/2024","","Journal Paper","Chemical Physics Letters","853",,,"false",,"false","false","",,,"Energy, Materials, Chemistry","",,"Batteries; Lithium-ion","Energy Storage, Energy, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Chemical Engineering, Engineering & Technology, Nanoscience/Nanotechnology",,,"14/08/2024"
"18435","10.1107/S2059798324008659",,"DLS:00001B000018435","Utilizing anomalous signals for element identification in macromolecular crystallography","Kamel El Omari, Ismay Forsyth, Ramona Duman, Christian M. Orr, Vitaliy Mykhaylyk, Erika J. Mancini, Armin Wagner","false","Published (Approved)","10/2024","","Journal Paper","Acta Crystallographica Section D Structural Biology","80",,,"false",,"true","true","I23-Long wavelength MX",,,"Biology and Bio-materials","","crystallography; anomalous scattering; element identification",,"Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX), Long Wavelength Crystallography",,,"18/09/2024"
"18500","10.1103/PhysRevMaterials.8.104001",,"DLS:00001A000018500","Holistic structural understanding of epitaxially-grown Bi/Au(111) moiré superstructures","Pablo Vezzoni Vicente, Tobias Weiss, Dennis Meier, Wenchao Zhao, Birce Sena Tömekçe, Marc G. Cuxart, Benedikt P. Klein, David A. Duncan, Tien-Lin Lee, Anthoula C. Papageorgiou, Matthias Muntwiler, Ari Paavo Seitsonen, Willi Auwärter, Peter Feulner, Johannes V. Barth, Francesco Allegretti","false","Published (Approved)","10/2024","25907","Journal Paper","Physical Review Materials","8",,,"false",,"true","true","I09-Surface and Interface Structural Analysis",,,"Materials, Physics","","Adsorption; Chemical bonding; Density functional theory; Growth; Nucleation on surfaces; Structural properties; Surface & interfacial phenomena; Bilayer films; Clusters; Monolayer films; Solid-solid interfaces; Surfaces; Vacuum interfaces; Low-energy elec",,"Surfaces, Quantum Materials, Physics, Hard condensed matter - structures, Materials Science, interfaces and thin films, Nanoscience/Nanotechnology, Diffraction, Spectroscopy, X-ray Standing Wave (XSW), X-ray Photoelectron Spectroscopy (XPS)",,,"02/10/2024"
"18499","10.1021/jacs.4c05955",,"DLS:000002000018499","A bioorthogonal precision tool for human N-acetylglucosaminyltransferase V","Yu Liu, Ganka Bineva-Todd, Richard W. Meek, Laura Mazo, Beatriz Piniello, Olga Moroz, Sean A. Burnap, Nadima Begum, André Ohara, Chloe Roustan, Sara Tomita, Svend Kjaer, Karen Polizzi, Weston B. Struwe, Carme Rovira, Gideon J. Davies, Benjamin Schumann","false","Published (Approved)","10/2024","","Journal Paper","Journal Of The American Chemical Society","146","26707 - 26718",,"false",,"true","true","I03-Macromolecular Crystallography",,,"Biology and Bio-materials, Chemistry","",,,"Biochemistry, Chemistry, Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"02/10/2024"
