"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"17085",,,"DLS:000018000017085","Multi-scale, multi-modal and operando imaging with brilliant X-rays","Christoph Rau","false","Published (Approved)","03/2023","","Magazine Article",,,,,"false","International Labmate","true","true","I13-1-Coherence, I13-2-Diamond Manchester Imaging",,,"Materials","",,,"Materials Science, Imaging, Spectroscopy, Tomography",,,"11/02/2024"
"9222",,,"DLS:000001000009222","Could the sclera be key to glaucoma?","Craig Boote","false","Published (Approved)","12/2017","14757","Magazine Article",,,,,"false","Eye News","true","true","I02-Macromolecular Crystallography",,,"Medicine, Biology and Bio-materials","",,,"Health & Wellbeing, Structural biology, Ophthalmology, Life Sciences & Biotech",,,"29/03/2018"
"6874",,,"DLS:000013000006874","Synchrotron-based micro Fourier transform infrared mapping to investigate the spatial distribution of amorphous and crystalline calcium carbonate in earthworm-secreted calcium carbonate balls","Mark Hodson, Liane G Benning, Gianfelice Cinque, Bea Demarchi, Mark Frogley, Kirsty Penkman, Juan Rodriguez-Blanco, Paul Schofield, Emma Versteegh, Katia Wehbe","false","Published (Approved)","06/2016","9197","Magazine Article","Spectroscopy Europe","28","12-15",,"false","Spectroscopy Europe","true","true","B22-Multimode InfraRed imaging And Microspectroscopy, I08-Scanning X-ray Microscopy beamline (SXM)",,,"Earth Science, Biology and Bio-materials","",,,"Earth Sciences & Environment, Life Sciences & Biotech, Spectroscopy, Infrared Spectroscopy, Synchtron-based Fourier Transform Infrared Spectroscopy (SR-FTIR)",,,"04/07/2016"
"7324","10.1016/S1464-2859(16)30158-4",,"DLS:000009000007324","Tracking charge in metal organic frameworks promises to improve fuel cell materials","Sihai Yang, Martin Schröder","false","Published (Approved)","06/2016","","Magazine Article","Fuel Cells Bulletin","2016","12 - 13",,"false","Fuel Cells Bulletin","true","true","I11-High Resolution Powder Diffraction, I19-Small Molecule Single Crystal Diffraction",,,"Materials, Energy, Chemistry","",,"Fuell Cells","Energy Storage, Energy, Energy Materials, Chemistry, Materials Science, Chemical Engineering, Engineering & Technology, Metal-Organic Frameworks, Metallurgy, Diffraction, Single Crystal X-ray Diffraction (SXRD), X-ray Powder Diffraction, Organometallic Chemistry",,,"21/11/2016"
"5319","10.1103/Physics.8.83",,"DLS:000000000005319","X rays expose transient spins","Gerrit Van Der Laan","false","Published (Approved)","08/2015","11585","Magazine Article","Physics","8","83",,"false","Physics","false","false","",,,"Physics","","Spintronics; Xmcd",,"Physics, Electronics, Magnetism",,,"19/09/2015"
"5457","10.1080/08940886.2015.1013425",,"DLS:000000000005457","X-ray nanoprobe beamline and pioneering electron microscopy facility come into focus","Andrew Harrison","false","Published (Approved)","04/2015","","Magazine Article","Synchrotron Radiation News","28","56 - 57",,"false","Synchrotron Radiation News","false","false","",,,"Technique Development","Accelerator Physics",,,"Technique Development - Materials Science, Technique Development - Life Sciences & Biotech, Materials Science, Life Sciences & Biotech",,,"06/10/2015"
"5809","10.1098/rsta.2013.0150","25624523","DLS:000000000005809","Physical sciences at Diamond: past achievements and future opportunities","D. F. Mcmorrow","false","Published (Approved)","01/2015","","Magazine Article","Philosophical Transactions Of The Royal Society A: Mathematical, Physical And Engineering Sciences","373 (2036)","20130150 - 20130150",,"false","Philosophical Transactions Of The Royal Society A: Mathematical, Physical And Engineering Sciences","false","false","",,,"Physics, Materials","","Free-Electron Laser; Angle-Resolved Photo-Emission Spectroscopy; Resonant Inelastic X-Ray Scattering",,"Physics, Materials Science",,,"23/11/2015"
"5810","10.1098/rsta.2013.0156","25624524","DLS:000000000005810","The Diamond Light Source and the challenges ahead for structural biology: some informal remarks","V. Ramakrishnan","false","Published (Approved)","01/2015","","Magazine Article","Philosophical Transactions Of The Royal Society A: Mathematical, Physical And Engineering Sciences","373 (2036)","20130156 - 20130156",,"false","Philosophical Transactions Of The Royal Society A: Mathematical, Physical And Engineering Sciences","false","false","",,,"Biology and Bio-materials","","Synchrotron Radiation; Macromolecular Crystallography; Structural Biology",,"Structural biology, Life Sciences & Biotech",,,"23/11/2015"
"3742","10.1126/science.1250472","24531960","DLS:000000000003742","Capturing surface processes","Chris Nicklin","false","Published (Approved)","02/2014","","Magazine Article","Science","343 (6172)","739 - 740",,"false","Science Magazine","false","false","",,,"Materials, Physics, Chemistry","","Surface X-Ray Diffraction",,"Surfaces, Physics, Chemistry, Materials Science",,,"19/02/2014"
"3369","10.1117/2.1201308.005021",,"DLS:00000B000003369","Optimization of bimorph mirrors on x-ray synchrotron beamlines","John Sutter, Simon Alcock, Kawal Sawhney","false","Published (Approved)","08/2013","","Magazine Article","SPIE Newsroom",,,,"false","SPIE Newsroom","false","false","B16-Test Beamline, I02-Macromolecular Crystallography, I03-Macromolecular Crystallography, I04-Macromolecular Crystallography, I19-Small Molecule Single Crystal Diffraction, I22-Small angle scattering & Diffraction, I24-Microfocus Macromolecular Crystallography","No.",,"Technique Development, Physics","Optics","X-Ray;  Synchrotron;  Bimorph;  Mirror",,"Optics, Physics, Technique Development - Physics",,,"20/08/2013"
