"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"16210",,,"DLS:000007000016210","Distinguishing prostate cancer grades using  X-ray and spectroscopic analysis of calcifications","Sarah Gosling, Emily Arnold, Tina Geraki, Mark Kitchen, Iain Lyburn, Keith Rogers, Tim Snow, Nicholas Stone, Charlene Greenwood","false","Published (Approved)","06/2023","","Poster",,,,,"false",,"true","true","I18-Microfocus Spectroscopy",,,"Medicine, Biology and Bio-materials","",,"Prostate Cancer","Non-Communicable Diseases, Health & Wellbeing, Cancer, Life Sciences & Biotech, Imaging, X-ray Fluorescence (XRF)",,,"21/06/2023"
"15172",,,"DLS:000018000015172","Advanced X-ray characterizations for medicine manufacturing products and processes","D. Saha","false","Published (Approved)","08/2022","","Poster",,,,,"false",,"true","true","I13-1-Coherence, I15-1-X-ray Pair Distribution Function (XPDF)",,,"Medicine","",,,"Life Sciences & Biotech, Imaging, Scattering, Phase Contrast Imaging, Pair Distribution Function (PDF)",,,"25/08/2022"
"15261",,,"DLS:000009000015261","X-ray absorption as a potent tool in studies of proton- conducting cobalt-based perovskites","I. Szpunar, A. Witkowska, R. Strandbakke, M. Sørby, S. Wachowski, M. Gazda, A. Mielewczyk-Gryń","false","Published (Approved)","08/2022","","Poster",,,,,"false",,"true","true","I11-High Resolution Powder Diffraction","MCX at Elettra Sinchrotrone Trieste",,"Materials, Technique Development","",,,"Technique Development - Materials Science, Materials Science, Perovskites, Metallurgy, Diffraction, X-ray Powder Diffraction",,,"24/09/2022"
"14063",,,"DLS:000014000014063","Insights into Famille Rose Chinese porcelain enamels and glazes from non-invasive X-ray diffraction","Craig I. Hiley, Victoria Kemp, Andrew Shortland, Graeme Hansford","false","Published (Approved)","08/2021","23341","Poster",,,,,"false",,"true","true","B18-Core EXAFS",,,"Archaeological and Cultural Heritage, Technique Development","","energy-dispersive X-ray diffraction; back-reflection; non-invasive analysis; Chinese porcelain; Famille Rose","Archeology","Cultural Heritage, Technique Development - Materials Science, Humanities, Materials Science, Diffraction, Energy Dispersive Diffraction (EDD)",,,"27/09/2021"
"8308",,,"DLS:000008000008308","Characterising the crystallisation process of monoethanolammonium carboxylates and their acid-soaps","David Booth, Xiaojun Lai","false","Published (Approved)","07/2017","16366","Poster",,,,,"false",,"true","true","I22-Small angle scattering & Diffraction",,,"Engineering, Chemistry","",,,"Chemistry, Engineering & Technology, Scattering, Small Angle X-ray Scattering (SAXS)",,,"17/07/2017"
"8451",,,"DLS:000014000008451","A high-quality non-destructive XRD technique for cultural heritage","Graeme Hansford, Stuart Turner, Patrick Degryse, Andrew Shortland","false","Published (Approved)","07/2017","10145","Poster",,,,,"false",,"true","true","B18-Core EXAFS",,,"Archaeological and Cultural Heritage, Technique Development, Physics","","Energy-dispersive X-ray diffraction, Cultural Heritage, Archaeometry, Archaeological Artefacts, Non-destructive",,"Cultural Heritage, Humanities, Physics, Technique Development - Physics, Spectroscopy, X-ray Absorption Spectroscopy (XAS), Extended X-ray Absorption Fine Structure (EXAFS)",,,"25/08/2017"
"7443",,,"DLS:000007000007443","Analogues for Wild2: carbonaceous chondrites shot into aerogel","L. J. Hicks, J. L. Macarthur, J. E. Wickham-Eade, M. C. Price, M. J. Burchell, A. L. Butter-Worth, S. H. Baker","false","Published (Approved)","07/2016","13690","Poster",,,,,"false",,"true","true","I18-Microfocus Spectroscopy",,,"Earth Science","","Stardust; magnetite; XANES; XRD","Comets; Meteorites","Earth Sciences & Environment, Mineralogy, Geology, Imaging, Spectroscopy, X-ray Fluorescence (XRF), X-ray Absorption Spectroscopy (XAS), Planetary Geology",,,"10/12/2016"
"7267",,,"DLS:000004000007267","Effect of sink layer thickness on damping in CoMnGe (5 nm) / Ag (6 nm) / NiFe (x nm) spin valves","Robert Alexander James Valkass, Leigh R. Shelford, Chris J. Durrant, Adriana Figueroa, Alex A. Baker, Padraic Shafer, Elke Arenholz, Jeffrey R. Childress, Jordan A. Katine, Gerrit Van Der Laan, Robert Hicken","false","Published (Approved)","04/2016","8782, 11585, 13063","Poster",,,,,"false",,"true","true","I06-Nanoscience (XPEEM), I10-Beamline for Advanced Dichroism - scattering","4.0.2, 6.3.1 at Advanced Light Source",,"Materials, Physics","",,,"Physics, Materials Science, X-ray detected Ferromagnetic Resonance (XFMR)",,,"15/11/2016"
"4903",,,"DLS:00000A000004903","High-resolution atomic force microscopy","G. M. Lazzerini, G Paterno, F Cacialli","false","Published (Approved)","10/2015","","Poster",,,,,"false",,"true","true","I24-Microfocus Macromolecular Crystallography",,,"Chemistry","",,,"Chemistry, Diffraction, Macromolecular Crystallography (MX)",,,"25/03/2015"
"6173",,,"DLS:000013000006173","Testing drugs targeting basic defect in cystic fibrosis (CF) epithelial cell lines by FTIR analysis","Silvia Vercellone, Sara Caldrer, Claudio  Sorio, Giovanni Gaviraghi, Paola Melotti, Gianfelice Cinque, Katia Wehbe, Giuseppe Bellisola","false","Published (Approved)","10/2015","9056, 8474","Poster",,,,,"false",,"true","true","B22-Multimode InfraRed imaging And Microspectroscopy",,,"Biology and Bio-materials","",,"Cystic Fibrosis","Non-Communicable Diseases, Health & Wellbeing, Life Sciences & Biotech, Spectroscopy, Infrared Spectroscopy, Synchtron-based Fourier Transform Infrared Spectroscopy (SR-FTIR)",,,"28/01/2016"
