"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"18403",,,"DLS:000018000018403","Unlocking potential: 3D strain mapping for high-performance halide perovskite devices","Diamond Light Source","false","Published (Approved)","09/2024","25097, 28495, 30308","Science Highlight",,,,,"false",,"true","true","I13-1-Coherence",,,"Materials, Physics, Energy","",,"Photovoltaics; Semicoductors","Earth Sciences & Environment, Sustainable Energy Systems, Energy, Physics, Climate Change, Electronics, Energy Materials, Materials Science, Perovskites, Metallurgy, Imaging, Coherent Diffraction Imaging (CDI), Bragg CDI",,,"06/09/2024"
"18479",,,"DLS:000000000018479","RIXS shows why Li-rich batteries fade","Diamond Light Source","false","Published (Approved)","09/2024","25785","Science Highlight",,,,,"false",,"true","true","I21-Resonant Inelastic X-ray Scattering (RIXS)",,,"Materials, Chemistry, Energy","","Batteries; Materials chemistry; Solid-state chemistry","Batteries; Lithium-ion","Energy Storage, Energy, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Scattering, Resonant Inelastic X-ray Scattering (RIXS)",,,"27/09/2024"
"18480",,,"DLS:000016000018480","Discovering a new dimension in skyrmion dynamics","Diamond Light Source","false","Published (Approved)","09/2024","32087, 32301","Science Highlight",,,,,"false",,"true","true","I10-Beamline for Advanced Dichroism - scattering",,,"Materials, Physics","","Magnetic Skyrmions; Skyrmion Dynamics; Topological Magnetism; Resonant Elastic X-Ray Scattering; Temperature Gradient","Skyrmions; Spintronics","Quantum Materials, Physics, Hard condensed matter - structures, Electronics, Magnetism, Materials Science, Scattering, Resonant Elastic X-ray Scattering (REXS)",,,"27/09/2024"
"18352",,,"DLS:000000000018352","Warming up to room-temperature crystallography","Diamond Light Source","false","Published (Approved)","08/2024","","Science Highlight",,,,,"false",,"true","true","VMXi-Versatile Macromolecular Crystallography in situ ",,,"Biology and Bio-materials, Technique Development","","room temperature; in situ; multi-crystal; crystallization pipelines; automated data collection; structural biology; radiation damage; X-ray crystallography; VMXi",,"Technique Development - Life Sciences & Biotech, Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"27/08/2024"
"18351",,,"DLS:000000000018351","Bridging the thickness gap: advanced soft X-ray imaging unlocks magnetic textures","Diamond Light Source","false","Published (Approved)","08/2024","32984, 33254","Science Highlight",,,,,"false",,"true","true","I08-1-Soft X-ray Ptychography",,,"Materials, Physics, Technique Development","",,,"Technique Development - Materials Science, Physics, Technique Development - Physics, Magnetism, Materials Science, Imaging, Coherent Diffraction Imaging (CDI), Ptychography",,,"27/08/2024"
"18300",,,"DLS:000000000018300","Double the fun: Diamond’s Versatile Soft X-ray (VERSOX) Beamline adds a second branch and operando cells","Diamond Light Source","false","Published (Approved)","08/2024","","Science Highlight",,,,,"false",,"true","true","B07-B1-Versatile Soft X-ray beamline: High Throughput ES1",,,"Engineering, Physics","","XPS; NEXAFS; ambient pressure; high throughput; X-ray photoelectron spectroscopy",,"Physics, Engineering & Technology",,,"16/08/2024"
"18216",,,"DLS:000005000018216","Pushing boundaries in piezoceramics: the impact of strontium acceptor dopants","Diamond Light Source","false","Published (Approved)","07/2024","30553","Science Highlight",,,,,"false",,"true","true","I15-Extreme Conditions",,,"Materials, Chemistry, Engineering","","Bismuth ferrite-barium titanate, Acceptor doping, Electroceramics, Piezoelectricity, In-situ X-ray diffraction","Piezoelectricity; Ferroelectricity","Quantum Materials, Multiferroics, Ceramics, Chemistry, Materials Science, Chemical Engineering, Engineering & Technology, Diffraction",,,"26/07/2024"
"18256",,,"DLS:00003D000018256","A new dimension in viral studies: 3D insights into HSV-1 assembly with correlative light x-ray tomography","Diamond Light Source","false","Published (Approved)","07/2024","18925, 19958, 21485, 23508, 25247, 26657, 30442","Science Highlight",,,,,"false",,"true","true","B24-Cryo Soft X-ray Tomography ",,,"Biology and Bio-materials","",,"Herpes; Viruses","Pathogens, Infectious Diseases, Health & Wellbeing, Structural biology, Life Sciences & Biotech, Imaging, Microscopy, Tomography, X-ray Microscopy, Cryo X-ray Microscopy, Cryo-soft X-ray Tomography (Cryo-SXT), CryoSIM",,,"05/08/2024"
"18117",,,"DLS:000000000018117","A first peek at a ""crass"" virus","Diamond Light Source","false","Published (Approved)","07/2024","19832","Science Highlight",,,,,"false",,"true","true","Krios I-Titan Krios I at Diamond",,,"Biology and Bio-materials","","Classification and taxonomy; Cryoelectron microscopy; Microbiome; Phage biology; Virus structures","Gut Microbiota; Viruses; Bacteriophage","Health & Wellbeing, Structural biology, Life Sciences & Biotech, Microscopy, Electron Microscopy (EM), Cryo Electron Microscopy (Cryo EM)",,,"05/07/2024"
"17948",,,"DLS:000000000017948","Revolutionising research: DIAD delves into dentistry","Diamond Light Source","false","Published (Approved)","06/2024","28054","Science Highlight",,,,,"false",,"true","true","DIAD-Dual Imaging and Diffraction Beamline",,,"Technique Development, Materials, Biology and Bio-materials","",,,"Technique Development - Materials Science, Dentistry, Health & Wellbeing, Materials Science, Life Sciences & Biotech, Imaging, Tomography",,,"07/06/2024"
