"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"18414",,,"DLS:00000D000018414","Carbene reactions catalyzed by silver-supported or metal-free microporous solids","Yongkun Zheng","false","Published (Approved)","09/2024","","Thesis",,,,,"false",,"true","true","I19-Small Molecule Single Crystal Diffraction",,,"Chemistry","",,,"Zeolites, Physical Chemistry, Catalysis, Chemistry, Organic Chemistry, Diffraction, Single Crystal X-ray Diffraction (SXRD)",,,"11/09/2024"
"18433",,,"DLS:000008000018433","Electrodeposition of 3D nanostructured materials using a lyotropic liquid crystal template","Joshua White","false","Published (Approved)","09/2024","","Thesis",,,,,"false",,"true","true","I22-Small angle scattering & Diffraction, labSAXS-Offline SAXS and Sample Environment Development","ZOOM at ISIS",,"Materials, Chemistry","",,,"Physical Chemistry, Chemistry, Materials Science, Nanoscience/Nanotechnology, Scattering, Small Angle X-ray Scattering (SAXS)",,,"16/09/2024"
"18280",,,"DLS:000002000018280","Development of an artificial peroxidase based on a human carbonic anhydrase protein","Iori Morita","false","Published (Approved)","08/2024","","Thesis",,,,,"false",,"true","true","I03-Macromolecular Crystallography",,,"Biology and Bio-materials, Chemistry","",,"Enzymes","Biochemistry, Chemistry, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"10/08/2024"
"18361",,,"DLS:00000D000018361","Towards controlled crystallisation via confinement and epitaxy","Alan Braschinsky","false","Published (Approved)","08/2024","","Thesis",,,,,"false",,"true","true","I19-Small Molecule Single Crystal Diffraction",,,"Chemistry, Materials","",,,"Chemistry, Materials Science, Chemical Engineering, Engineering & Technology, Metal-Organic Frameworks, Metallurgy, Diffraction, Single Crystal X-ray Diffraction (SXRD), Organometallic Chemistry",,,"28/08/2024"
"18420",,,"DLS:000017000018420","Understanding the morphology and properties of 2D material reinforced nanocomposites","Conor O'Brien","false","Published (Approved)","08/2024","","Thesis",,,,,"false",,"true","true","I13-2-Diamond Manchester Imaging",,,"Materials, Engineering","",,,"Materials Engineering & Processes, Materials Science, Engineering & Technology, Nanoscience/Nanotechnology, Imaging, Tomography",,,"12/09/2024"
"18183",,,"DLS:00003E000018183","Local structure analysis of non-crystalline metal oxide photocatalysts","Ezgi Onur Sahin","false","Published (Approved)","07/2024","","Thesis",,,,,"false",,"true","true","I15-1-X-ray Pair Distribution Function (XPDF)",,,"Materials, Chemistry","",,,"Physical Chemistry, Catalysis, Chemistry, Materials Science, Scattering, Pair Distribution Function (PDF)",,,"18/07/2024"
"18185","10.17169/refubium-43936",,"DLS:000008000018185","Nucleation, growth and transformation phenomena of vivianite","Alice Paskin","false","Published (Approved)","07/2024","","Thesis",,,,,"false",,"true","true","I22-Small angle scattering & Diffraction",,,"Earth Science","","ferrous phosphates; vivianite; nucleation and growth",,"Earth Sciences & Environment, Mineralogy, Geology, Scattering, Small Angle X-ray Scattering (SAXS), Wide Angle X-ray Scattering (WAXS), Geochemistry",,,"22/07/2024"
"18208",,,"DLS:00000D000018208","The crystallography of upper mantle and transition zone phases using X-ray and neutron diffraction","Evangelia Tripoliti","false","Published (Approved)","07/2024","","Thesis",,,,,"false",,"true","true","I19-Small Molecule Single Crystal Diffraction","HRPD at ISIS",,"Earth Science","",,,"Earth Sciences & Environment, Mineralogy, Geology, Geophysics, Diffraction, Single Crystal X-ray Diffraction (SXRD)",,,"24/07/2024"
"18221",,,"DLS:00000A000018221","Activation of the canononical NF-kB pathway by the Kaposi's sarcoma-associated herpes virus oncoprotein vFLIP","Swathi Lakshmi  Senthil Kumar","false","Published (Approved)","07/2024","","Thesis",,,,,"false",,"true","true","I24-Microfocus Macromolecular Crystallography",,,"Biology and Bio-materials, Chemistry","",,"Viruses","Pathogens, Infectious Diseases, Health & Wellbeing, Biochemistry, Chemistry, Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"28/07/2024"
"18233",,,"DLS:000007000018233","Time-resolved spectroscopy of organometallic alkane and silane intermediates","Edward Bowman","false","Published (Approved)","07/2024","","Thesis",,,,,"false",,"true","true","I18-Microfocus Spectroscopy",,,"Chemistry","","TRIR; time-resolved spectroscopy; XAFS; organometallic intermediates; manganese; rhenium; spectrum analysis",,"Physical Chemistry, Chemistry, Spectroscopy, X-ray Absorption Spectroscopy (XAS), X-ray Absorption Near Edge Structure (XANES)",,,"30/07/2024"
"18249",,,"DLS:000017000018249","Imaging the articular osteochondral  interface","Lucinda A. E. Evans","false","Published (Approved)","07/2024","13237, 28353, 24786","Thesis",,,,,"false",,"true","true","I13-2-Diamond Manchester Imaging",,,"Biology and Bio-materials, Medicine","",,"Osteoarthritis","Biophysics, Life Sciences & Biotech, Imaging, Tomography",,,"01/08/2024"
"18028",,,"DLS:000006000018028","Three-dimensional Bragg Coherent x-ray diffraction imaging of multiferroic nanocrystals","Ahmed Mohamed","false","Published (Approved)","06/2024","","Thesis",,,,,"false",,"true","true","I16-Materials and Magnetism",,,"Materials, Physics","",,,"Quantum Materials, Hard condensed matter - electronic properties, Multiferroics, Physics, Electronics, Materials Science, Nanoscience/Nanotechnology, Imaging, Coherent Diffraction Imaging (CDI), Bragg CDI",,,"20/06/2024"
"18061",,,"DLS:000011000018061","Plasmonic and all-dielectric chiral metamaterials for biomolecule detection","Dominic Koyroytsaltis-Mcquire","false","Published (Approved)","06/2024","","Thesis",,,,,"false",,"true","true","B23-Circular Dichroism",,,"Materials, Biology and Bio-materials","",,,"Materials Science, Life Sciences & Biotech",,,"27/06/2024"
"18076",,,"DLS:00000A000018076","Serial and time-resolved crystallography of metalloproteins","Peter Smyth","false","Published (Approved)","06/2024","","Thesis",,,,,"false",,"true","true","I24-Microfocus Macromolecular Crystallography","Spring-8",,"Biology and Bio-materials","",,,"Structural biology, Life Sciences & Biotech, Diffraction, Serial Synchrotron Crystallography (SSX)",,,"01/07/2024"
