"sep=	"
Document type	Open Access	Number	Authors countries	Authors	Title	Journal title	Volume	Pages	Year	Beamline(s)	Facility used	Proposal number	DOI	DOI added	WoS Number
Journal article		ESRF24AB7038	Japan/UK	Abe K., Atkinson P.S., Cheung C.S., Liang H., Goehring L., Inasawa S.	Dynamics of drying colloidal suspensions, measured by optical coherence tomography	Soft Matter	20	2381-2393	2024				10.1039/d3sm01560b		WOS:001166403400001
Book chapter		ESRF24AN7014	Austria	Antrekowitsch J., Steinlechner S., Hanke G., Brandner U.	Zinc						ESRF (Grenoble)		10.1016/B978-0-323-85514-3.00009-9		
Journal article		ESRF24AR7041	Portugal/UK	Araújo C.F., Ribeiro-Claro P., Vaz P.D., Rudic S., Serrano R.A.F., Silva L.P., Coutinho J.A.P., Nolasco M.M.	Exploring asymmetry induced entropy in tetraalkylammonium-urea DES systems: What can be learned from inelastic neutron scattering?	Physical Chemistry Chemical Physics	26	5969-5977	2024		ESRF (Grenoble)		10.1039/d3cp04961b		WOS:001126502900001
Journal article		ESRF24BA7067	USA	Badr H.O., Barsoum M.W.	Hydroxide‐derived nanostructures: scalable synthesis, characterization, properties, and potential applications	Advanced Materials	36	2402012-2402012-23	2024				10.1002/adma.202402012		
Journal article		ESRF24BA7054	Russia/Kazakhstan	Balagurov A.M., Yerzhanov B., Mukhametuly B., Samoylova N.Y., Palacheva V.V., Sumnikov S.V., Golovin I.S.	Order-disorder phase transitions in Fe81Ga19-RE alloys (RE = Dy, Er, Tb, Yb) according to neutron diffraction data	Physics of Metals and Metallography	125	185-195	2024				10.1134/S0031918X2360286X		
Journal article		ESRF24BA7035	UK	Ball J.A.D., Kareer A., Magdysyuk O.V., Michalik S., Connolley T., Collins D.M.	Revealing per-grain and neighbourhood stress interactions of a deforming ferritic steel via three-dimensional X-ray diffraction	Communications Materials	5	27-1-27-14	2024		DIAMOND (Didcot)		10.1038/s43246-024-00466-8		WOS:001181109300002
Book chapter		ESRF24BA7017	USA	Barbiellini B., Bansil A.	Scattering techniques, Compton	Encyclopedia of Condensed Matter Physics	4	173-186	2024		ESRF (Grenoble)		10.1016/B978-0-323-90800-9.00107-4		
Journal article		ESRF24BE7059	Belgium	Beckwée E.J., Houlleberghs M., Ciocarlan R.G., Chandran C.V., Radhakrishnan S., Hanssens L., Cool P., Martens J., Breynaert E., Baron G.V., Denayer J.F.M.	Structure I methane hydrate confined in C8-grafted SBA-15: A highly efficient storage system enabling ultrafast methane loading and unloading	Applied Energy	353	122120-1-122120-12	2024				10.1016/j.apenergy.2023.122120		WOS:001092824700001
Journal article		ESRF24CA7049	China	Cao M., Wang Y., Wang L., Zhang K., Guan Y., Guo Y., Chen C.	In situ label-free X-ray imaging for visualizing the localization of nanomedicines and subcellular architecture in intact single cells	Nature Protocols	19	30-59	2024				10.1038/s41596-023-00902-y		
Journal article		ESRF24CH7046	China	Chen Y., Xiang P., Zhang J., Zhou Q., He Y., Wei G., Li J., Zou Y., Nie Y., Wang H., Li H., Wang Y., Wang J., He J.	Status of magnets for WALS storage ring	IEEE Transactions on Applied Superconductivity	34	4000304-1-4000304-4	2024				10.1109/TASC.2023.3341844		
Journal article	OA	ESRF24CI7053	UK/Italy/Switzerland	Cipiccia S., Fratini M., Erin E., Palombo M., Vogel S., Burian M., Zhou F., Parker G.J.M., Batey D.J.	Fast X-ray ptychography: towards nanoscale imaging of large volume of brain	European Physical Journal Plus	139	434-1-434-8	2024				10.1140/epjp/s13360-024-05224-w		
Journal article		ESRF24CR7036	Germany	Cramer P.	Good reasons for structural biology	Nature Structural & Molecular Biology	31	393-394	2024				10.1038/s41594-024-01232-7		
Journal article		ESRF24DA7037	Germany/UK/USA/France (not ESRF)/Tanzania/South Africa	Davies T.W., Gunz P., Spoor F., Alemseged Z., Gidna A., Hublin J.J., Kimbel W.H., Kullmer O., Plummer W.P., Zanolli C., Skinner M.M.	Dental morphology in Homo habilis and its implications for the evolution of early Homo	Nature Communications	15	286-1-286-16	2024				10.1038/s41467-023-44375-9		
Journal article		ESRF24DE7039	Belgium	De Pauw E., Tack P., Vincze L.	A review of laboratory, commercially available, and facility based wavelength dispersive X-ray fluorescence spectrometers	Journal of Analytical Atomic Spectrometry	39	310-329	2024				10.1039/D3JA00315A		
Book chapter		ESRF24DU7063	France (not ESRF)	Dugelay C., Gueguen-Chaignon V., Terradot L.	Structural analyses of bacterial effectors by X-ray crystallography	Methods in Molecular Biology	2715	485-502	2024				10.1007/978-1-0716-3445-5_29		
Book chapter		ESRF24FE7013	USA	Fensin S.J., Dattelbaum D.M., Jones D.R., Gray G.T.	Dynamic behavior of additively manufactured materials						ESRF (Grenoble)		10.1016/B978-0-323-99153-7.00012-8		
Journal article		ESRF24FE7027	USA/Spain	Fenter P., Calvo Almazán I.	Imaging interfacial topography with coherent x-ray reflectivity	Physical Review B	109	094112-1-094112-13	2024				10.1103/PhysRevB.109.094112		
Journal article		ESRF24GA7021	Germany	Galchenkova M., Tolstikova A., Klopprogge B., Sprenger J., Oberthuer D., Brehm W., White T.A., Barty A., Chapman H.N., Yefanov O.	Data reduction in protein serial crystallography	IUCrJ	11	190-201	2024				10.1107/S205225252400054X		
Journal article		ESRF24GR7062	Italy	Groppo E., Piovano A.	Operando spectroscopies and heterogeneous olefin polymerization catalysis: A rare marriage with a lot of potential beyond usual understanding	Catalysis Today	429	114494-1-114494-23	2024				10.1016/j.cattod.2023.114494		
Journal article		ESRF24GR7076	France (not ESRF)/Switzerland/Denmark	Grünewald T.A., Liebi M., Birkedal H.	Crossing length scales: X-ray approaches to studying the structure of biological materials	IUCrJ	11	708-722	2024		ESRF (Grenoble)		10.1107/S2052252524007838		
Journal article		ESRF24HE7040	Italy/France (not ESRF)/Belgium	Hafner A., Costa L., Kourousias G., Bonanni V., Zizic M., Stolfa A., Bazi B., Vincze L., Gianoncelli A.	An innovative in situ AFM system for a soft X-ray spectromicroscopy synchrotron beamline	The Analyst	149	700-706	2024		ELETTRA (Triestre)		10.1039/D3AN01358H		
Journal article		ESRF24HA7023	France (not ESRF)/Switzerland/Germany/USA	Hammouda T., Frossard P., Boyet M., Bouvier A., Newville M., Lanzirotti A.	Mapping the redox state of the young Solar System using ytterbium valence state	Geochimica et Cosmochimica Acta	372	124-133	2024		ESRF (Grenoble)		10.1016/j.gca.2024.03.018		
Journal article		ESRF24HE7033	USA	Henning R.W., Kosheleva I., Srajer V., Kim I.S., Zoellner E., Ranganathan R.	BioCARS: Synchrotron facility for probing structural dynamics of biological macromolecules	Structural Dynamics	11	014301-1-014301-15	2024		APS (Argonne)		10.1063/4.0000238		
Journal article	OA	ESRF24HU7071	UK/China	Huang S., Xiang K., Mi J.	Recent advances in synchrotron X-ray studies of the atomic structures of metal alloys in liquid state	Journal of Materials Science & Technology	203	180-200	2024		ESRF (Grenoble)		10.1016/j.jmst.2024.02.038		
Journal article		ESRF24IL7015	Italy	Iliescu M.A., Curceanu C., Sirghi F.C., Spallone A.	Structure probing by holographic imaging at nanometer scale with X-ray lasers (SPHINX)	Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment	1061	169083-1-169083-6	2024		DIAMOND (Didcot)		10.1016/j.nima.2024.169083		
Journal article		ESRF24KA7007	Italy/USA	Karantzoulis E., Di Mitri S., Barbo F., Barletta W., Bassanese S., Bracco R., Brajnik G., Buonanno A., Caiazza D., Carniel A., Castronovo D., Cautero M., Cleva S., Comisso M., Cudin I., Dastan S., De Monte R., Diviacco B., Fabris A., Fabris R., Gaio G., Grulja S., Gregoratti L., Gubertini A., Krecic S., Lizzit S., Loda G., Lonza M., Manukyan K., Mazzucco B., Milani M., Millo D., Modica M., Novinec L., Pangon G., Pasotti C., Passarelli A., Rumiz L., Sbarra S., Scrimali G., Shafqat N., Simonetti G., Svandrlik M., Tripaldi F., Veronese M., Visintini R., Yousefi E., Zaccaria M.	Design strategies and technology of Elettra 2.0 for a versatile offer to the user community	Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment	1060	169007-1-169007-35	2024		ELETTRA (Triestre)		10.1016/j.nima.2023.169007		
Journal article		ESRF24KI7002	Russia/China	Kirichkov M.V., Polyakov V.A., Shende S.S., Minkina T.M., Nevidomskaya D.G., Wong M.H., Bauer T.V., Shuvaeva V.A., Mandzhieva S.S., Tsitsuashvili V.S.	Application of X-ray based modern instrumental techniques to determine the heavy metals in soils, minerals and organic media	Chemosphere	349	140782-1-140782-12	2024		ESRF (Grenoble)		10.1016/j.chemosphere.2023.140782		
Journal article		ESRF24KL7019	Germany	Klanner R.	A commentary on the NIMA paper by Xiaobiao Huang et al. on an algorithm for online optimization of accelerators	Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment	1061	168896-1	2024				10.1016/j.nima.2023.168896		
Journal article		ESRF24KI7066	USA/Switzerland/Germany	Kleinsasser J.M., Konecke B.A., Simon A.C., Northrup P., Lanzirotti A., Newville M., Borca C., Huthwelker T., Holtz F.	Sulfur speciation in dacitic melts using X-ray absorption near-edge structure spectroscopy of the S K-edge (S-XANES): Consideration of radiation-induced changes and the implications for sulfur in natural arc systems	American Mineralogist	109	1359-1374	2024		NSLS (Brookhaven)		10.2138/am-2022-8833		
Journal article		ESRF24KO7026	Japan	Kono Y., Ohara K., Kondo N.M., Higo Y., Kakizawa S., Yumoto H., Koyama T., Yamazaki H., Senba Y., Ohashi H., Inoue I., Hayashi Y., Yabashi M.	In situ high-pressure pair distribution function measurement of liquid and glass by using 100 keV pink beam	Review of Scientific Instruments	95	013904-1-013904-7	2024		SPring-8 (Nishi Harima, Japan)		10.1063/5.0176975		
Journal article		ESRF24LA7034	Austria	Ladich F.	Diversity of sound production and hearing in fishes: Exploring the riddles of communication and sensory biology	Journal of the Acoustical Society of America	155	218-228	2024		ESRF (Grenoble)		10.1121/10.0024243		
Journal article		ESRF24LE7006	Korea	Lee Y., Kim E.S., Hwang J.G., Lee J., Kim J.	Beam dynamics in the booster synchrotron of Korea-4GSR project	Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment	1060	169074-1-169074-7	2024				10.1016/j.nima.2023.169074		
Journal article		ESRF24LI7001	China	Li X.Y., Lu H.H., Li Y., Sun S.C., Chen W., Gong L.L., Guo Q., Zhao S.T., Zhang X.Z., Zhang L., Li Z.Q., Gong K.Y., Sun Y.J.	Development of a 12 mm period cryogenic permanent magnet undulator for time-resolved X-ray beamline on HEPS	Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment	1059	168938-1-168938-10	2024				10.1016/j.nima.2023.168938		
Journal article		ESRF24LI7010	USA	Li Y., Xu D., Smaluk V., Rainer R.	Nonlinear optics from hybrid dispersive orbits	Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment	1060	169032-1-169032-7	2024				10.1016/j.nima.2023.169032		
Journal article		ESRF24LU7004	China	Luo C., Meng J., Yang J., Jiao J., Shen G., Li C., Wei N., Zhu G., Xie W., Chai Z., Yang W., Liu J., Wan Y., Lin X., Zhu X.	Study on the performance of titanium alloy-lined thin-walled vacuum chamber	Vacuum	221	112808-1-112808-10	2024				10.1016/j.vacuum.2023.112808		
Journal article		ESRF24MA7022	China	Ma G., Yang X., Long H., Zhou Y., Xu X.L., Yang X.H.	Robust social recommendation based on contrastive learning and dual-stage graph neural network	Neurocomputing	584	127597-1-127597-10	2024				10.1016/j.neucom.2024.127597		
Journal article		ESRF24MO7042	France (not ESRF)	Moarefvand A., Gasc J., Deldicque D., Labrousse L., Schubnel A.	P‐Wave velocities across the α → β quartz transition at lower continental crust pressure and temperature conditions	Journal of Geophysical Research: Solid Earth	129	e2023JB027850-1-e2023JB027850-20	2024				10.1029/2023JB027850		
