"sep=	"
Document type	Open Access	Number	Authors countries	Authors	Title	Journal title	Volume	Pages	Year	Beamline(s)	Facility used	Proposal number	DOI	DOI added	WoS Number
Journal article	OA	ESRF25MA1001	France (not ESRF)	Magalhaes M.D., Douillard T., Reveron H., Comby-Dassonneville S., Cornelius T.W., Meille S., Texier M., Micha J.S., Rodney D., Thomas O., Chevalier J.	In-situ Laue micro-diffraction during compression tests on Ce-TZP single crystal micropillars	Journal of the European Ceramic Society	45	116794-1-116794-9	2025	BM32	ESRF (Grenoble)	A32-2-851	10.1016/j.jeurceramsoc.2024.116794		
Journal article		ESRF24AB1199	Switzerland	Abdala P., Müller C.	Uncovering atomic-scale dynamics in solid catalysts via X-ray-based methods	Chimia	78	297-303	2024	BM31	ESRF (Grenoble)	 CH-6215, CH-6136, A31-1-112,  A31-1-75, CH-5229	10.2533/chimia.2024.297		
Journal article	OA	ESRF24AB1325	USA/Canada/Korea/Egypt	Abdelhafiz A., Mohammed M.H., Abed J., Lee D.C.., Chen M., Helal A.S., Ren Z., Alamgir F., Sargent E., Kohl P.A., Elsaidi S.K., Li J.	Tri-metallic catalyst for oxygen evolution reaction enables continuous operation of anion exchange membrane electrolyzer at 1A cm-2 for hundreds of hours	Advanced Energy Materials	14	2303350-1-2303350-11	2024	ID26	ESRF (Grenoble)	MA-5352	10.1002/aenm.202303350		WOS:001187210800001
Journal article		ESRF24AB1291	USA/France (not ESRF)	Abou Nakad J., Szeto K.C., de Mallmann A., Li L., Scott S.L., Delevoye L., Gauvin R.M., Taoufik M.	Non-oxidative propane dehydrogenation by a well-defined Ga catalyst prepared by surface organometallic chemistry	ACS Catalysis	14	8631-8639	2024	BM23	ESRF (Grenoble)		10.1021/acscatal.4c01118		
Journal article		ESRF24AH1175	India	Ahmad N., Sharma P., Sharma S., Singh T.P.	Structure of a novel form of phosphopantetheine adenylyltransferase from Klebsiella pneumoniae at 2.59 Å resolution	European Biophysics Journal	53	147-157	2024	ID23-2	ESRF (Grenoble)		10.1007/s00249-024-01703-1		
Journal article		ESRF24AK1393	Russia	Akparov V.K., Konstantinova G.E., Timofeev V.I., Shevtsov M.B., Kuranova I.P.	Structure of carboxypeptidase T from thermoactinomyces vulgaris in complex with L-phenyl lactate	Crystallography Reports	69	318-323	2024	ID23-1	ESRF (Grenoble)	MX-2270	10.1134/S1063774524600315		
Journal article		ESRF24AL1317	Italy	Alberti M., Poli G., Broggini L., Sainas S., Rizzi M., Boschi D., Ferraris D.M., Martino E., Ricagno S., Tuccinardi T., Lolli M.L., Miggiano R.	An alternative conformation of the N-terminal loop of human dihydroorotate dehydrogenase drives binding to a potent antiproliferative agent	Acta Crystallographica D	80	386-396	2024	ID23-2	ESRF (Grenoble)		10.1107/S2059798324004066		
Journal article		ESRF24AL1048	Russia	Alekseeva O.A., Naberezhnov A.A., Koroleva E.Y., Fokin A.V.	The role of thermal vibrations in transformation of structure transition for sodium nitrate in a restricted geometry	Physica E	156	115855-1-115855-6	2024	BM1A	ESRF (Grenoble)		10.1016/j.physe.2023.115855		
Journal article	OA	ESRF24AL1270	France (not ESRF)/Czech Republic	Aliouat M.Y., Cristiano F., Abbassi L., Escoubas S., Mesnilgrente F., Salvagnac L., Sámal M., Rybácek J., Sturm L., Gourdon A., Jancarik A., Séguy I.	β-Disubstituted pentacene derivatives: thin film structural properties and four-probe field effect mobility	ChemPlusChem	89	e202300611-1-e202300611-11	2024	BM2	ESRF (Grenoble)		10.1002/cplu.202300611		WOS:001124214700001
Journal article	OA	ESRF24AL1304	USA/Italy	Allieta M., Coduri M., Naldoni A.	Black TiO2 and oxygen vacancies: Unraveling the role in the thermal anatase-to-rutile transformation	Applied Nano	5	72-83	2024	ID22_HRPD	ESRF (Grenoble)	CH-3883	10.3390/applnano5020007		
Journal article		ESRF24AL1507	Brazil/France (not ESRF)	Almeida D.V., Ciancaglini I., Hernandes Sandano A.L., Roman E.K.B., Brito Andrade V., Nunes A.B., Tramontina R., da Silva V.M., Gabel F., Corrêa T.L.R., Damasio A., Muniz J.R.C., Squina F.M., Garcia W.	Unveiling the crystal structure of thermostable dienelactone hydrolase exhibiting activity on terephthalate esters	Enzyme and Microbial Technology	180	110498-1-110498-10	2024	BM29_BIOSAXS	ESRF (Grenoble)	MX-2398	10.1016/j.enzmictec.2024.110498		
Journal article		ESRF24AM1024	France (not ESRF)	Amedewovo L., Orgéas L., de Parscau du Plessix B., Lefèvre N., Levy A., Le Corre S.	Deconsolidation of carbon fiber-reinforced PEKK laminates: 3D real-time in situ observation with synchrotron X-ray microtomography	Composites Part A	177	107917-1-107917-15	2024	ID19	ESRF (Grenoble)		10.1016/j.compositesa.2023.107917		
Journal article		ESRF24AM1546	Austria/Germany	Amjadi R., Werten S., Lomada S., Baldin C., Scheffzek K., Dunzendorfer-Matt T., Wieland T.	Mechanistic insights into substrate recognition of human nucleoside diphosphate kinase C based on nucleotide-induced structural changes	International Journal of Molecular Sciences	25	9768-1-9768-19	2024	ID23-1/ID23-2/ID30A-3	ESRF (Grenoble)		10.3390/ijms25189768		
Journal article		ESRF24AM1080	Spain/Italy	Amthor S., Ranu K., Bellido C.G., Salomón F.F., Piccioni A., Mazzaro R., Boscherini F., Pasquini L., Gil-Sepulcre M., Llobet A.	Robust molecular anodes for electrocatalytic water oxidation based on electropolymerized molecular Cu complexes	Advanced Materials	36	2308392-1-2308392-7	2024	BM8	ESRF (Grenoble)	A08-1-1078	10.1002/adma.202308392		
Journal article	OA	ESRF24AN1515	Italy/France (not ESRF)/Germany/The Netherlands	Andlovic B., Valenti D., Centorrino F., Picarazzi F., Hristeva S., Hiltmann M., Wolf A., Cantrelle F.X., Mori M., Landrieu I., Levy L.M., Klebl B., Tzalis D., Genski T., Eickhoff J., Ottmann C.	Fragment-based interrogation of the 14–3–3/TAZ protein–protein interaction	Biochemistry	63	2196-2206	2024	ID23-1	ESRF (Grenoble)		10.1021/acs.biochem.4c00248		
