"sep=	"
Document type	Open Access	Number	Authors countries	Instrument	Domain	Authors	ILL Authors	Titre	Journal title	Volume	Pages	Year	Proposal number	DOI	WOS Number	DOI added
Article from Conference in a Journal	OA	ILL24AK7041	Sweden/Switzerland			Akhyani M., Rønnow H.M., Zanini L.		A high brilliance low-frequency spallation source optimized for one single instrument	EPJ Web of Conferences	298	05001-1-05001-6	2024		10.1051/epjconf/202429805001		
Journal article	OA	ILL24AR7031	France (not ILL)/Italy/Switzerland/USA			Arias-Aragon F., Brdar V., Quevillon J.		New directions for axionlike particle searches combining nuclear reactors and haloscopes	Physical Review Letters	132	211802-1-211802-7	2024		10.1103/PhysRevLett.132.211802		
Journal article		ILL24BA7003	USA	D11		Barker J.G.		Methods to maximize detector count rates on small-angle neutron scattering diffractometers at reactor sources: II. Optimizing sample, source and detector sizes	Nuclear Instruments and Methods in Physics Research A	1059	168973-1-168973-11	2024		10.1016/j.nima.2023.168973		
Journal article		ILL24BA7018	USA			Barker J.G., Cook J.C.		Methods to maximize detector count rates on small-angle neutron scattering diffractometers at reactor sources: I. Optimizing wavelength selections	Nuclear Instruments and Methods in Physics Research A	1059	169107-1-169107-7	2024		10.1016/j.nima.2024.169107		
Journal article	OA	ILL24BE7020	Ireland/Italy/Switzerland/USA			Benedetto A., Kearley G.J., Faraone A.		Conceptual study of a new instrument for dynamic neutron scattering measurements - The modulated intensity with diffraction analysis spectrometer (MIDAS)	Review of Scientific Instruments	95	043901-1-043901-15	2024		10.1063/5.0193842		
Book chapter	OA	ILL24BL7014				Blekman F., Bracco A., Christensen N., Dormy E., Eggenberger P., Kiefer C., Lepine F., Sakellariadou M., Saridakis E.N., Schieck J., Wulz C.E.		Physics bridging the infinities				2024		10.1088/978-0-7503-6342-6ch2		
Journal article	OA	ILL24BR7013	Australia/Germany			Bryant S.J., Garvey C.J., Darwish T.A., Georgii R., Bryant G.		Molecular interactions with bilayer membrane stacks using neutron and X-ray diffraction	Advances in Colloid and Interface Science	326	103134-1-103134-15	2024		10.1016/j.cis.2024.103134		
Journal article	OA	ILL24CA7025	Italy/Sweden			Caselli L., Conti L., De Santis I., Berti D.		Small-angle X-ray and neutron scattering applied to lipid-based nanoparticles: Recent advancements across different length scales	Advances in Colloid and Interface Science	327	103156-1-103156-27	2024		10.1016/j.cis.2024.103156		
Journal article	OA	ILL24CE7022	Italy/Switzerland			Cerboni N., de Bodin-de Galembert G., De Gerone M., Gallucci G., Müller E., Nucciotti A., Steinegger P., Maugeri E.A.		Development and implementation of holmium sources produced by molecular plating for the HOLMES experiment	Materials Chemistry and Physics	314	128837-1-128837-9	2024		10.1016/j.matchemphys.2023.128837		
Journal article		ILL24DE7046	USA			Desai A.S., Williams T.J., Daum M., Sala G., Aczel A.A., Granroth G.E., Mourigal M.		Monte?Carlo ray-tracing studies of multiplexed prismatic graphite analyzers for the cold-neutron triple-axis spectrometer at the High Flux Isotope Reactor	Nuclear Instruments and Methods in Physics Research A	1065	169508-1-169508-9	2024		10.1016/j.nima.2024.169508		
Journal article		ILL24FO7049	Russia			Fomin A.K., Serebrov A.P.		Turbine effect in an experiment with storage of ultracold neutrons	Instruments and Experimental Techniques	67	210-218	2024		10.1134/S0020441224700581		
Journal article	OA	ILL24GO7029	Poland/Bulgaria/UK/Germany			Gochev G.G., Campbell R.A., Schneck E., Zawala J., Warszynski P.		Exploring proteins at soft interfaces and in thin liquid films ? From classical methods to advanced applications of reflectometry	Advances in Colloid and Interface Science	329	103187-1-103187-26	2024		10.1016/j.cis.2024.103187		
Journal article	OA	ILL24HE7036	France (not ILL)			Henning G., Chebboubi A., De Saint-Jean C., Estienne M., Fallot M., Giot L., Kerveno M., Litaize O., Mougeot X., Porta A., Serot O., Vallet V.		Need for precise nuclear structure data for reactor studies	EPJ Nuclear Sciences & Technologies	10	6-1-6-11	2024		10.1051/epjn/2024007		
Journal article	OA	ILL24HU7028	China/UK			Huang S., Xiang K., Mi J.		Recent advances in synchrotron X-ray studies of the atomic structures of metal alloys in liquid state	Journal of Materials Science & Technology	203	180-200	2024		10.1016/j.jmst.2024.02.038		
Journal article		ILL24LE7024	Australia			Le Brun A.P., Gilbert E.P.		Advances in sample environments for neutron scattering for colloid and interface science	Advances in Colloid and Interface Science	327	103141-1-103141-30	2024		10.1016/j.cis.2024.103141		
Journal article	OA	ILL24LE7039	France (not ILL)/USA			Leal L., Leclaire N., Jaiswal V.		Impact of experimental effects on a resolved resonance evaluation for practical applications	Annals of Nuclear Energy	208	110795-1-110795-11	2024		10.1016/j.anucene.2024.110795		
Journal article	OA	ILL24LE7053	Italy/Japan			Leoni S., Fornal B., Bracco A., Tsunoda Y., Otsuka T.		Multifaceted character of shape coexistence phenomena in atomic nuclei	Progress in Particle and Nuclear Physics	139	104119-1-104119-108	2024		10.1016/j.ppnp.2024.104119		
Journal article		ILL24LI7006	China			Li Z., Shan L., Yang H.		Improving the meso-structure identification of asphalt mixture using combined neutron and X-ray imaging	Construction and Building Materials	413	134771-1-134771-10	2024		10.1016/j.conbuildmat.2023.134771		
Journal article	OA	ILL24LI7048	China			Lin H., Li J., Yáng Z., Zhong S.		Recent progress in stress analysis technology and application of neutron diffraction	Acta Metallurgica Sinica	60	1017-1030	2024		10.11900/0412.1961.2024.00061		
Thesis	OA	ILL24LU7038	USA			Lu X.		Novel energy scale calibration strategies for the PROSPECT-II experiment								
Journal article	OA	ILL24MA7021	France (not ILL)			Maire E., Bonnard G., Adrien J., Boulnat X., Létang J.M., Lachambre J.		Dual Beam microfocus high-energy tomography: Towards multimodal and faster laboratory experiments	Tomography of Materials and Structures	5	100030-1-100030-10	2024		10.1016/j.tmater.2024.100030		
