"sep=	"
Document type	Open Access	Number	Authors countries	Instrument	Domain	Authors	ILL Authors	Titre	Journal title	Volume	Pages	Year	Proposal number	DOI	WOS Number	DOI added
Journal article	OA	ILL24AL6028	France (ILL)/Spain/Mexico			Alvarez-Alonso P., Camarillo-Garcia J.P., Salazar D., López-García J., Echevarria-Bonet C., Lázpita P., Padron-Aleman K., Sánchez Llamazares J.L., Flores-Zuniga H., Chernenko V.	Padron-Aleman K.	Investigating the reversible nature of the magnetocaloric effect under cyclic conditions of the Ni50Mn34In15Ga1 magnetic shape memory alloy	Journal of Alloys and Compounds	993	174576-1-174576-8	2024		10.1016/j.jallcom.2024.174576		
Journal article	OA	ILL24AN6045	Slovakia/UK/Japan/Germany/Romania/Algeria/Belgium/Finland/Spain/Italy/Switzerland/Denmark/France (ILL)/France (not ILL)			Andel B., Andreyev A.N., Blazhev A., Lica R., Naïdja H., Stryjczyk M., Van Duppen P., Algora A., Antalic S., Barzakh A., Benito J., Benzoni G., Berry T., Borge M.J.G., Chrysalidis K., Clisu C., Costache C., Cubiss J. G., De Witte H., Fedorov D. V., Fedosseev V.N., Fraile L. M., Fynbo H.O.U., Greenlees P.T., Harkness-Brennan L.J., Huyse M., Illana A., Jolie J., Judson D. S., Konki J., Lazarus I., Madurga M., Marginean N., Marginean R., Marsh B.A., Mihai C., Molkanov P.L., Mosat P., Murias J.R., Nacher E., Negret A., Page R.D., Pascu S., Perea A., Pucknell V., Rahkila P., Rapisarda E., Rezynkina K., Sanchez-Tembleque V., Schomacker K., Seliverstov M.D., Sotty C., Stan L., Surder C., Tengblad O., Vedia V., Vinals S., Wadsworth R., Warr N.		? decay of the ground state and of a low-lying isomer in 216Bi	Physical Review C	109	064321-1-064321-18	2024		10.1103/PhysRevC.109.064321		
Journal article		ILL24BA6037	Italy/France (not ILL)/France (ILL)/Germany			Baldesi L., Barlini S., Stefanini A.A., Camaiani A., Piantelli S., Casini G., Ciampi C., Cinausero M., Cicerchia M., Dell'Aquila D., Domenichetti L., Fabris D., Frosin C., Gozzelino A., Lombardo I., Marchi T., Moretto S., Mengarelli A., Olmi A., Pasquali G., Scomparin L., Valdre S., Vanzan E.		Performance of the antisymmetrized molecular dynamics transport model for low energy reactions: Comparison with experimental results for O18+C12 at 16.7 MeV/nucleon	Physical Review C	109	064618-1-064618-9	2024		10.1103/PhysRevC.109.064618		
Journal article	OA	ILL24CH6006	Switzerland/Romania/Poland/France (ILL)/Italy/Czech Republic/The Netherlands		Nuclear and Particle Physics	Chojnacki M., Kulesz K., Michelon I., Azaryan N., Barbero E., Crepieux B., Lica R., Murawski L., Ziemba M., Piersa-Silkowska M., Vitulova K., Korgul A., Jolivet R.B., Prokopowicz R., Köster U., Kowalska M.	Köster U.	Production of 129mXe and 131mXe via neutron activation of 128Xe and 130Xe at ILL-RHF and NCBJ-MARIA high-flux reactors	Applied Radiation and Isotopes	205	111174-1-111174-8	2024		10.1016/j.apradiso.2024.111174		
Journal article	OA	ILL24CO6014	Germany/France (ILL)/UK/USA			Coak M.J., Götze K., Northam De La Fuente T., Castelnovo C., Tidey J.P., Singleton J., Boothroyd A.T., Prabhakaran D., Goddard P.A.	Northam De La Fuente T.	Magnetotransport of Sm2Ir2O7 across the pressure-induced quantum-critical phase boundary	npj Quantum Materials	9	17-1-17-12	2024		10.1038/s41535-024-00624-8		
Journal article		ILL24DU6026	France (ILL)/France (not ILL)			Dutta S., Nossov A., Galarneau A., Didi Y., Said B., Denoyel R., Wernert V., Coasne B., Guenneau F.	Coasne B.	Apparent anomalous temperature dependence of self-diffusion studied by pulsed-field gradient nuclear magnetic resonance and thermodynamic modeling	Journal of Physical Chemistry Letters	15	3276-3284	2024		10.1021/acs.jpclett.3c03468		
Journal article	OA	ILL24FA6017	France (ILL)/Switzerland		Nuclear and Particle Physics	Favaretto C., Grundler P.V., Talip Z., Köster U., Johnston K., Busslinger S. D., Sprung P., Hillhouse C. C., Eichler R., Schibli R., Müller C., van der Meulen N.P.	Köster U.	Terbium-149 production: A focus on yield and quality improvement towards preclinical application	Scientific Reports	14	3284-1-3284-12	2024		10.1038/s41598-024-53610-2		
Journal article		ILL24FE6019	Brazil/France (ILL)/France (not ILL)			Ferreira de Souza N., Picard C., Franco L.F.M., Coasne B.	Coasne B.	Thermal conductivity of a fluid-filled nanoporous material: Underlying molecular mechanisms and the rattle effect	Journal of Physical Chemistry B	128	2516-2527	2024		10.1021/acs.jpcb.3c07088		
Journal article		ILL24HO6030	Denmark/Japan/Switzerland/UK/France (ILL)/USA/Sweden			Holm-Janas S., Akaki M., Fogh E., Kihara T., Le M., Forino P., Nikitin Stanislav E., Fennell T., Painganoor A., Vaknin D., Watanabe M., Christensen N., Nojiri H., Toft-Petersen R.		Magnetic structure and magnetoelectric properties of the spin-flop phase in 
LiFePO4	Physical Review B	109	174413-1-174413-11	2024		10.1103/PhysRevB.109.174413		
