"sep=	"
Document type	Open Access	Number	Authors countries	Instrument	Domain	Authors	ILL Authors	Titre	Journal title	Volume	Pages	Year	Proposal number	DOI	WOS Number	DOI added
Journal article		ILL24AG1042	France (not ILL)/UK	D1B	Crystallography and Chemistry	Agafonov A., Pineda-Romero N., Witman M., Nassif V., Vaughan G.B.M., Lei L., Ling S., Grant D.M., Dornheim M., Allendorf M., Stavila V., Zlotea C.		Destabilizing high-capacity high entropy hydrides via earth abundant substitutions: From predictions to experimental validation	Acta Materialia	276	120086-1-120086-10	2024	5?25?284	10.1016/j.actamat.2024.120086		
Journal article	OA	ILL24BL1027	UK	D50		Blanche J., Mitchell D., Shang J., Flynn D., Pavuluri S., Desmulliez M.		Dynamic analysis of geomaterials using microwave sensing	Scientific Reports	14	7112-1-7112-17	2024	UGA-38	10.1038/s41598-024-57653-3		
Thesis	OA	ILL24BL1040	Switzerland	IN5/D23		Blasco D.F.		Dielectric phenomena at magnetic quantum critical points				2024		10.3929/ethz-b-000677717		
Thesis	OA	ILL24BO1050	France (not ILL)	D1B		Bouzidi A.		Hydrogen absorption properties in high entropy alloys containing refractory elements								
Journal article		ILL24CA1053	Czech Republic/France (not ILL)	SHARP		Candolfi C., Le Gars L., Guélou G., Ventrapati P., Prestipino C., Guizouarn T., Pasturel M., Levinsky P., Lemoine P., Raveau B., Shen X., Lebedev O.I., Berrod Q., Zanotti J.M., Guilmeau E.		Influence of cationic ordering on the lattice dynamics of monoclinic Cu5Sn2S7 and cubic Cu5Sn2S6.65Cl0.35 sulfides	Journal of Physical Chemistry C	128	14075-14084	2024	CRG-2897	10.1021/acs.jpcc.4c03489		
Journal article		ILL24CH1039	Canada/USA	RICOCHET		Chen R., Figueroa-Feliciano E., Bratrud G., Chang C.L., Chaplinsky L., Cudmore E., Van De Pontseele W., Formaggio J.A., Harrington P., Hertel S.A., Hong Z., Kennard K. T., Li M., Lisovenko M., Mateo L.O., Mayer D.W., Novati V., Patel P.K., Pinckney H.D., Raha N., Reyes F.C., Rodríguez A., Schmidt B., Stachurska J., Veihmeyer C., Wang G., Winslow L., Yefremenko V.G., Zhang J.		Modeling and characterization of TES-based detectors for the Ricochet experiment	Journal of Low Temperature Physics	215	217-224	2024		10.1007/s10909-024-03087-0		
Journal article	OA	ILL24CH1022	Spain/Chile	D1B		Chivite-Lacaba M., Prado-Gonjal J., Troncoso L., Alonso J.A., Cascos V.		SrCo0.50Fe0.40Ir0.10O3-? decorated with Pd and La0.8Sr0.2Ga0.83Mg0.17O3-?: A cleaner electrode for intermediate-temperature solid oxide fuel cells with reduced cobalt content	ACS Applied Energy Materials	7	986-996	2024		10.1021/acsaem.3c02361		
Journal article	OA	ILL24CH1048	UK	FIGARO	Soft Matter	Chrysanthou A., Bosch-Fortea M., Nadal C., Zarbakhsh A., Gautrot J.E.		Interfacial mechanics of ?-casein and albumin mixed protein assemblies at liquid-liquid interfaces	Journal of Colloid and Interface Science	674	379-391	2024	9-13-838, 9-12-588	10.1016/j.jcis.2024.06.111		
Journal article		ILL24DI1037	France (not ILL)/Poland	D1B		Diatta A., Colin C.V., Viennois R., Beaudhuin M., Haines J., Hermet P., van der Lee A., Konczewicz L., Armand P., Rouquette J.		BaCoO2 with tetrahedral cobalt coordination: The missing element to understand energy storage and conversion applications in BaCoO3-?-based materials	Journal of the American Chemical Society	146	15027-15035	2024		10.1021/jacs.3c14047		
Journal article		ILL24FA1026	Estonia/France (not ILL)/Switzerland/UK/USA	D23		Facheris L., Nabi S.D., Povarov K.Y., Yan Z., Moshe A.G., Nagel U., Room T., Podlesnyak A., Ressouche E., Beauvois K., Stewart J.R., Manuel P., Khalyavin D., Orlandi F., Zheludev A.		Magnetic field induced phases and spin Hamiltonian in Cs2CoBr4	Physical Review B	109	104433 -1-104433 -13	2024		10.1103/PhysRevB.109.104433		
Journal article	OA	ILL24FI1013	Austria/France (not ILL)	PF2	Nuclear and Particle Physics	Fischer H., Käding C., Sedmik R.I.P., Abele H., Brax P., Pitschmann M.		Search for environment-dependent dilatons	Physics of the Dark Universe	43	101419-1-101419-8	2024		10.1016/j.dark.2024.101419		
Journal article		ILL24GO1014	France (not ILL)/Spain/Russia	D15/D23		Golosovsky I.V., Mukhin A.A., Skumryev V., Ressouche E., Ivanov V.Y., Gudim I.A.		Hidden magnetic instability in the substituted multiferroics (Nd,Tb)Fe3(BO3)4	Physical Review B	109	014421-1-014421-7	2024		10.1103/PhysRevB.109.014421		
Journal article		ILL24GO1004	Germany/Hungary	PF1B		Gomez-Guzman J.M., Opel M., Veres T., Link P., Bottyán L.		Structural, electrical and magnetic properties of reactively DC sputtered Cu and Ti thin films. Application to Cu/Ti neutron supermirrors for low spin-flip applications	Nuclear Instruments and Methods in Physics Research A	1059	169005-1-169005-11	2024		10.1016/j.nima.2023.169005		
Journal article		ILL24GU1006	France (not ILL)	D16/D1B	Soft Matter	Guenet J.M.		Contribution of neutron diffraction to the study of crystallo-solvates (molecular compounds) from polymers and from supramolecular polymers	Polymer	293	126638-1-126638-7	2024		10.1016/j.polymer.2023.126638		
Journal article	OA	ILL24HA1046	UK/South Africa	SALSA		Hattingh D.G., James M.N., Schwim F.K., Opperman R., Bernard D., Wedderburn I.		Innovative rotary friction welding of heat exchanger tube nozzles on high pressure headers	International Journal of Pressure Vessels and Piping	210	105263-1-105263-10	2024		10.1016/j.ijpvp.2024.105263		
Journal article	OA	ILL24HE1018	Sweden	NeXT		Hektor J., Engqvist J., Hall S.A.		evoSegment: 4D image segmentation of microstructural evolution using joint histograms	Tomography of Materials and Structures	4	100023-1-100023-10	2024		10.1016/j.tmater.2023.100023		
Journal article	OA	ILL24JI1031	Australia	D11/D22		Ji Y., Blach T., Radlinski A.P., Vu P., Roshan H., Regenauer-Lieb K.		Environmental cell for USANS/SANS studies with aggressive fluids at high pressures and temperatures	Measurement	235	114997-1-114997-14	2024		10.1016/j.measurement.2024.114997		
Journal article	OA	ILL24KA1041	Sweden	SuperADAM		Karlsson M., Johansson L.G., Mazzei L., Froitzheim J., Wolff M.		Neutron reflectivity in corrosion research on metals	ACS Materials Au	4	346-353	2024		10.1021/acsmaterialsau.4c00011		
Journal article		ILL24KL1028	Czech Republic	D20	Magnetic Structures	Klicpera M., Stasko D.		Crystallographic parameters and their systematics within the CeCuAl3-related family of intermetallics	Solid State Sciences	151	107529-1-107529-5	2024	5-31-2447	10.1016/j.solidstatesciences.2024.107529		
Journal article		ILL24LE1010	France (not ILL)	D22	Crystallography and Chemistry	Lepêtre-Mouelhi S., Gobeaux F., da Silva A., Prades L., Feng J., Wien F., Couvreur P., Testard F.		Leu-enkephalin lipid prodrug nanoparticles: Relationship between nanoparticles? structure, interaction with bovine serum albumin, and analgesic activity	Chemistry of Materials	36	694-707	2024	9-13-1028, 9-13-1068	10.1021/acs.chemmater.3c02070		
Journal article	OA	ILL24LI1034	Australia/Denmark/Sweden/Belgium/France (not ILL)	SuperADAM	Soft Matter	Li S., Hammond O.S., Nelson A., De Campo L., Moir M., Recsei C., Shimpi M.R., Glavatskih S., Pilkington G.A., Mudring A.V., Rutland M.W.		Anion architecture controls structure and electroresponsivity of anhalogenous ionic liquids in a sustainable fluid	Journal of Physical Chemistry B	128	4231-4242	2024	9-13-1006	10.1021/acs.jpcb.3c08189		
Journal article		ILL24LI1038	UK/China	FIGARO		Liao M., Gong H., Shen K., Wang Z., Li R., Campana M., Hu X., Lu J.R.		Unlocking roles of cationic and aromatic residues in peptide amphiphiles in treating drug-resistant gram-positive pathogens	Journal of Colloid and Interface Science	672	209-223	2024		10.1016/j.jcis.2024.05.188		
Journal article	OA	ILL24LI1023	China/France (not ILL)	SALSA		Liu M., Kouadri-David A., Ma G.		Residual stress relaxation in the laser welded structure after low-cycle fatigue and fatigue life: Numerical analysis and neutron diffraction experiment	Coatings	14	281-1-181-19	2024		10.3390/coatings14030281		
Journal article	OA	ILL24MA1009	Germany	IN6		Majumdar A., Müller M., Busch S.		Computation of X-ray and neutron scattering patterns to benchmark atomistic simulations against experiments	International Journal of Molecular Sciences	25	1547-1-1547-27	2024		10.3390/ijms25031547		
Journal article	OA	ILL24MA1025	Czech Republic/France (not ILL)	D4C	Biology	Mason P.E., Martinek T., Fabian B., Vazdar M., Jungwirth P., Tichacek O., Duboue-Dijon E., Martinez-Seara H.		Hydration of biologically relevant tetramethylammonium cation by neutron scattering and molecular dynamics	Physical Chemistry Chemical Physics	26	3208-3218	2024	8-03-844	10.1039/D3CP05449G		
Journal article		ILL24ME1001	Germany	D22		Menold P., Strey R., Roitsch S., Preisig N., Stubenrauch C.		Transition from a sponge-like to an onion-like nanostructure in the L3 phase ? Part I	Journal of Colloid and Interface Science	653	1743-1752	2024		10.1016/j.jcis.2023.09.194		
Journal article		ILL24NI1052	Germany/France (not ILL)	D1B		Nimoh H., Arévalo-López Á.M., Meier Q.N., Minaud C., Huvé M., Capet F., Cano A., Glaum R., Mentré O.		Antipolar 2D metallicity with tunable valence Wx+ (5 ? x ? 5.6) in the layered monophosphate tungsten bronzes [Ba(PO4)2]WmO3m?3	Journal of the American Chemical Society	146	23955-23962	2024		10.1021/jacs.4c07022		
Journal article		ILL24PA1012	Germany/USA			Papadakis C.M., Niebuur B.J., Schulte A.		Thermoresponsive polymers under pressure with a focus on poly(N-isopropylacrylamide) (PNIPAM)	Langmuir	40	1-20	2024		10.1021/acs.langmuir.3c02398		
Journal article		ILL24PA1047	France (not ILL)/Germany/Sweden	D1B		Paul-Boncour V., Shtender V., Provost K., Phejar M., Cuevas F., Skourski Y., Isnard O.		Origin of the metamagnetic transitions in Y0.9Tb0.1Fe2D4.3	Journal of Solid State Chemistry	338	124898-1-124898-9	2024		10.1016/j.jssc.2024.124898		
Thesis	OA	ILL24SC1045	Austria	PF1B	Nuclear and Particle Physics	Schilberg J.		Characterization of silicon photomultipliers for the PERC experiment						10.34726/hss.2024.119682		
Journal article		ILL24ST1049	Czech Republic	CYCLOPS		Stasko D., Vlásková K., Vojtasová D., Hájek F., Král P., Colman R.H., Klicpera M.		The synthesis of the rare earth A2Zr2O7 single crystals by simplified laser-heated floating hot zone and pedestal methods	Materials Today Chemistry	39	102153-1-102153-8	2024		10.1016/j.mtchem.2024.102153		
